category,hardest_keypoint,hardest_accuracy,easiest_keypoint,easiest_accuracy,accuracy_gap
aeroplane,9,36.26373626373626,21,100.0,63.73626373626374
cat,11,48.35164835164835,6,100.0,51.64835164835165
car,21,46.36363636363636,5,97.61904761904762,51.25541125541126
bus,19,44.44444444444444,4,95.45454545454545,51.01010101010101
dog,2,51.84210526315789,8,99.67320261437908,47.83109735122119
bottle,7,35.23076923076923,1,80.91168091168092,45.680911680911684
bicycle,10,51.83823529411765,4,96.19883040935673,44.36059511523908
person,13,54.285714285714285,7,97.38095238095238,43.095238095238095
cow,2,58.00865800865801,13,100.0,41.99134199134199
sheep,11,52.38095238095239,0,93.63636363636364,41.25541125541125
motorbike,1,58.88888888888889,4,96.69117647058823,37.80228758169934
tvmonitor,4,38.3399209486166,5,74.50592885375494,36.166007905138336
train,2,60.826210826210826,12,93.6842105263158,32.85799970010497
boat,6,42.30769230769231,13,73.59307359307358,31.285381285381277
horse,10,66.17647058823529,9,93.47826086956522,27.30179028132993
chair,10,38.88888888888889,3,64.58333333333334,25.69444444444445
pottedplant,0,46.72364672364672,7,70.26315789473684,23.539511171090112
bird,15,78.18181818181819,4,100.0,21.818181818181813
