keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
16,0.9289,380,0.0589,0.0737,92.89
3,0.9717,600,0.0323,0.0846,97.17
15,0.9909,110,0.0576,0.0496,99.09
12,0.9936,156,0.0436,0.0378,99.36
0,1.0,702,0.0234,0.0172,100.0
4,1.0,182,0.0185,0.0117,100.0
5,1.0,132,0.02,0.0143,100.0
6,1.0,600,0.0139,0.0093,100.0
7,1.0,182,0.0154,0.016,100.0
8,1.0,156,0.0178,0.0187,100.0
9,1.0,272,0.0336,0.0252,100.0
10,1.0,240,0.0412,0.0341,100.0
11,1.0,240,0.0396,0.0393,100.0
13,1.0,156,0.0499,0.0369,100.0
14,1.0,240,0.0396,0.0334,100.0
