keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
19,0.3041,342,0.1849,0.1752,30.409999999999997
6,0.3333,12,0.0844,0.0524,33.33
27,0.3409,132,0.2119,0.2264,34.089999999999996
23,0.3444,90,0.1179,0.1207,34.44
29,0.3571,182,0.2015,0.2178,35.709999999999994
16,0.3763,380,0.1809,0.1819,37.63
17,0.3875,240,0.165,0.18,38.75
18,0.3961,462,0.1591,0.1617,39.61
0,0.4327,342,0.1554,0.1653,43.269999999999996
20,0.4464,56,0.135,0.1408,44.64
3,0.456,182,0.0954,0.0901,45.6
15,0.4872,156,0.0858,0.1002,48.72
26,0.4889,90,0.1845,0.2064,48.89
7,0.5,6,0.0733,0.072,50.0
22,0.5,72,0.0919,0.103,50.0
13,0.522,182,0.0962,0.1188,52.2
1,0.5256,156,0.177,0.1908,52.559999999999995
5,0.5833,12,0.057,0.0593,58.330000000000005
10,0.5889,90,0.0724,0.0858,58.89
12,0.5897,156,0.0729,0.0855,58.97
2,0.6042,240,0.0873,0.1019,60.419999999999995
28,0.6136,132,0.1432,0.1855,61.36000000000001
25,0.619,42,0.0769,0.1192,61.9
11,0.7198,182,0.0583,0.0921,71.98
14,0.7381,210,0.1069,0.174,73.81
21,0.7455,110,0.0689,0.1075,74.55000000000001
24,0.7556,90,0.0595,0.0945,75.56
4,0.8864,132,0.0274,0.0378,88.64
