keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
21,0.4636,110,0.1781,0.16,46.36
14,0.4667,210,0.1782,0.1807,46.67
16,0.4667,210,0.1554,0.1453,46.67
27,0.4679,156,0.1637,0.1637,46.79
17,0.4872,156,0.1496,0.1495,48.72
11,0.489,182,0.1608,0.1538,48.9
26,0.5,182,0.1536,0.1468,50.0
2,0.5227,132,0.1643,0.1802,52.27
25,0.5238,42,0.1846,0.1809,52.38
29,0.5275,182,0.1102,0.0947,52.75
20,0.5278,72,0.1571,0.1625,52.78
6,0.5455,132,0.1548,0.1796,54.55
18,0.5619,210,0.1152,0.105,56.19
28,0.5682,132,0.1006,0.081,56.82000000000001
7,0.5778,90,0.1326,0.1651,57.78
19,0.5952,210,0.1111,0.1062,59.519999999999996
15,0.6071,56,0.1705,0.2029,60.709999999999994
24,0.6515,132,0.1374,0.1723,65.14999999999999
10,0.6545,110,0.1205,0.1375,65.45
23,0.6607,56,0.0848,0.092,66.07
22,0.6806,72,0.0928,0.1121,68.06
13,0.7,110,0.078,0.0858,70.0
0,0.7033,182,0.1196,0.1659,70.33
3,0.7182,110,0.104,0.1361,71.82
1,0.7273,132,0.1046,0.1608,72.72999999999999
9,0.75,12,0.0953,0.1273,75.0
12,0.8333,72,0.0456,0.0749,83.33
8,0.8393,56,0.0685,0.1135,83.93
4,0.9048,42,0.0498,0.0587,90.48
5,0.9762,42,0.0268,0.0476,97.61999999999999
