keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
11,0.5989,182,0.1747,0.1697,59.89
12,0.7121,132,0.1523,0.1628,71.21
10,0.7727,462,0.1196,0.1278,77.27000000000001
9,0.83,506,0.107,0.1094,83.0
2,0.8667,600,0.0928,0.1064,86.67
13,0.9015,132,0.0784,0.104,90.14999999999999
14,0.9359,156,0.0677,0.0806,93.58999999999999
3,0.942,552,0.0666,0.0789,94.19999999999999
1,0.9786,420,0.0584,0.0549,97.86
0,0.9895,380,0.0569,0.054,98.95
4,1.0,552,0.0345,0.0303,100.0
5,1.0,600,0.0348,0.0354,100.0
6,1.0,462,0.0163,0.0106,100.0
7,1.0,600,0.011,0.0075,100.0
8,1.0,462,0.0126,0.0089,100.0
