keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
10,0.6944,72,0.144,0.1128,69.44
4,0.732,306,0.1401,0.1413,73.2
9,0.7668,506,0.1254,0.1307,76.68
0,0.769,420,0.1237,0.1277,76.9
1,0.7767,506,0.1238,0.115,77.66999999999999
8,0.7767,506,0.1267,0.133,77.66999999999999
5,0.8,210,0.1257,0.1592,80.0
11,0.8393,56,0.1018,0.0978,83.93
12,0.8571,42,0.0948,0.0869,85.71
2,0.8643,420,0.1025,0.0889,86.42999999999999
6,0.8654,156,0.1072,0.0952,86.53999999999999
3,0.8708,240,0.0917,0.0857,87.08
7,0.8905,210,0.1002,0.0866,89.05
13,1.0,2,0.1005,0.079,100.0
