keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
18,0.3571,42,0.099,0.111,35.709999999999994
16,0.381,42,0.0739,0.074,38.1
15,0.3901,182,0.1006,0.0956,39.01
13,0.4143,210,0.1225,0.1162,41.43
8,0.4143,210,0.1019,0.1162,41.43
10,0.419,210,0.1052,0.1128,41.9
9,0.4316,380,0.1436,0.1725,43.16
17,0.4643,56,0.0764,0.0854,46.43
14,0.4697,132,0.0832,0.1043,46.97
12,0.475,240,0.1044,0.1292,47.5
11,0.475,240,0.1008,0.1145,47.5
19,0.5,42,0.0965,0.1062,50.0
6,0.6901,342,0.0779,0.132,69.01
2,0.7111,90,0.0626,0.1213,71.11
0,0.8013,156,0.0461,0.0736,80.13
1,0.8238,210,0.0358,0.0576,82.38
5,0.8333,462,0.0439,0.0838,83.33
3,0.8714,210,0.0315,0.054,87.14
7,0.8952,420,0.0234,0.0445,89.52
4,0.9357,420,0.0214,0.0446,93.57
