keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
11,0.5238,42,0.1446,0.1677,52.38
19,0.5333,30,0.1209,0.1309,53.33
10,0.5444,90,0.1393,0.1581,54.44
12,0.5556,90,0.1508,0.1798,55.559999999999995
17,0.5909,110,0.1196,0.1145,59.089999999999996
9,0.6182,110,0.1139,0.1347,61.82
3,0.6184,380,0.122,0.1636,61.839999999999996
13,0.65,20,0.0891,0.0949,65.0
20,0.65,20,0.1548,0.2054,65.0
18,0.6742,132,0.0969,0.1136,67.42
2,0.6976,420,0.1125,0.1754,69.76
15,0.7756,156,0.07,0.0922,77.56
4,0.817,306,0.0706,0.0987,81.69999999999999
1,0.8333,132,0.0724,0.097,83.33
5,0.848,342,0.0601,0.1064,84.8
14,0.8556,90,0.0687,0.1152,85.56
8,0.9035,342,0.0369,0.0712,90.35
6,0.9053,380,0.0426,0.079,90.53
16,0.9103,156,0.0383,0.043,91.03
7,0.9298,342,0.0346,0.0592,92.97999999999999
0,0.9364,110,0.0497,0.0929,93.64
