keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
4,0.3834,506,0.1885,0.1621,38.34
1,0.4214,420,0.1588,0.1265,42.14
3,0.4269,506,0.1947,0.1678,42.69
11,0.4293,552,0.1673,0.1458,42.93
7,0.4368,380,0.1681,0.1403,43.68
12,0.4438,552,0.1628,0.1587,44.379999999999995
9,0.4447,506,0.1484,0.1137,44.47
6,0.4481,462,0.1709,0.1557,44.81
15,0.4816,380,0.1429,0.1245,48.16
13,0.4909,552,0.144,0.1278,49.09
0,0.4947,380,0.1568,0.1538,49.47
2,0.5029,342,0.1669,0.1773,50.29
14,0.513,462,0.1424,0.1386,51.300000000000004
8,0.5619,420,0.1311,0.1355,56.19
10,0.581,420,0.1352,0.1406,58.099999999999994
5,0.7451,506,0.0973,0.1155,74.51
