category,threshold,mean_pck,std_pck,median_pck,count
aeroplane,0.05,63.96737479465639,25.51009794739119,66.66666666666666,690
aeroplane,0.1,76.72044855069151,23.159739133928475,80.0,690
aeroplane,0.2,87.9085222582665,17.154952361857035,100.0,690
bicycle,0.05,57.95535575535576,28.306586446916388,63.63636363636363,650
bicycle,0.1,74.44690864690864,28.53601772767171,83.33333333333334,650
bicycle,0.2,88.35497835497836,21.199969640966845,100.0,650
bird,0.05,84.46065725980256,17.04542003664619,85.71428571428571,702
bird,0.1,95.06176673911716,9.742021054806425,100.0,702
bird,0.2,98.90759288195189,4.491265154185138,100.0,702
boat,0.05,34.848448876226655,29.75957519523771,33.33333333333333,702
boat,0.1,51.12484737484737,32.49000647651925,50.0,702
boat,0.2,70.36528286528286,30.907788399004083,75.0,702
bottle,0.05,39.05259076810801,25.617755082389987,37.5,870
bottle,0.1,57.59377850757162,27.001485809816952,60.0,870
bottle,0.2,79.02043422733078,22.2100514624448,84.52380952380952,870
bus,0.05,40.506879882793285,30.670024010441683,37.5,644
bus,0.1,50.874880774748334,34.1373455130209,50.0,644
bus,0.2,63.799474639354074,34.59791786578249,71.42857142857143,644
car,0.05,38.80687599437599,31.72786483824884,33.33333333333333,564
car,0.1,50.03371800579247,33.340000810850555,50.0,564
car,0.2,66.603053418213,31.537509516169457,75.0,564
cat,0.05,67.71623885373886,15.837365249672045,66.66666666666666,600
cat,0.1,78.93397574647575,13.277859898550416,80.0,600
cat,0.2,92.9930389055389,8.69278046535863,100.0,600
chair,0.05,36.96300689334745,26.796330318374917,33.33333333333333,646
chair,0.1,53.29145613588338,28.98921977829782,55.55555555555556,646
chair,0.2,77.0286344202753,27.465467171122366,85.71428571428571,646
cow,0.05,66.65906475450183,24.645464982682007,70.0,640
cow,0.1,82.1782124609137,16.918042758688326,84.61538461538461,640
cow,0.2,94.0578216496427,10.835413845455875,100.0,640
dog,0.05,64.4401455026455,19.395961296712883,66.66666666666666,600
dog,0.1,80.90812798312798,16.755960111727884,83.33333333333334,600
dog,0.2,93.75898730898732,10.078555959167572,100.0,600
horse,0.05,64.81288063788064,25.851134773234214,70.0,600
horse,0.1,80.84422475672477,22.603447437642554,87.5,600
horse,0.2,90.68922605172605,15.989866184371802,100.0,600
motorbike,0.05,57.031158142269256,28.43333332288598,60.0,702
motorbike,0.1,72.92463709130375,28.139559759134805,80.0,702
motorbike,0.2,86.58181838737394,21.275295662733075,100.0,702
person,0.05,61.3272146656762,28.55873557404555,66.66666666666666,650
person,0.1,76.16329909406834,25.675388594354455,83.33333333333334,650
person,0.2,86.97159549851857,22.3318872426054,100.0,650
pottedplant,0.05,35.769252016351786,30.90312727662925,33.33333333333333,862
pottedplant,0.1,55.03931425625161,33.42011729721662,57.14285714285714,862
pottedplant,0.2,73.23385077155379,31.503737072755865,85.71428571428571,862
sheep,0.05,60.90443349911369,33.13619755693893,66.66666666666666,664
sheep,0.1,74.15818712549755,30.215002847493885,83.33333333333334,664
sheep,0.2,86.44237945199143,24.237716388921775,100.0,664
train,0.05,48.835760616514584,25.420033205594656,50.0,756
train,0.1,70.89127014226221,25.448876620339963,78.57142857142857,756
train,0.2,89.80901575643641,16.484819899910924,100.0,756
tvmonitor,0.05,28.500902998735373,19.262264083410116,30.0,692
tvmonitor,0.1,45.035996838742506,24.38619319322063,46.15384615384615,692
tvmonitor,0.2,64.66373081799382,26.3163799317547,70.0,692
