keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
27,0.4792,288,0.1858,0.1961,47.92
26,0.5037,272,0.1638,0.1691,50.370000000000005
29,0.511,364,0.1558,0.1738,51.1
19,0.5819,794,0.1334,0.1479,58.19
28,0.6023,264,0.1219,0.1445,60.23
18,0.6364,1180,0.1123,0.1308,63.63999999999999
10,0.638,3914,0.1031,0.1112,63.800000000000004
2,0.6402,6992,0.1016,0.1182,64.02
11,0.6498,3772,0.1068,0.1297,64.98
9,0.6513,5128,0.1061,0.1282,65.13
21,0.66,250,0.1123,0.1409,66.0
1,0.6812,5044,0.0948,0.1144,68.12
12,0.6823,2798,0.0996,0.1251,68.23
3,0.6863,7422,0.0939,0.116,68.63
25,0.7024,84,0.1308,0.1616,70.24000000000001
0,0.7056,6662,0.1003,0.1403,70.56
16,0.7124,2754,0.089,0.1145,71.24000000000001
17,0.7127,1852,0.0868,0.1137,71.27
13,0.7205,3152,0.0927,0.1226,72.05
8,0.733,5510,0.0878,0.1261,73.3
4,0.7446,6046,0.0853,0.117,74.46000000000001
7,0.747,5526,0.0797,0.1111,74.7
6,0.7602,6076,0.0786,0.1181,76.02
14,0.7611,2620,0.0883,0.1204,76.11
5,0.7655,5574,0.0819,0.1176,76.55
15,0.766,2068,0.0782,0.096,76.6
20,0.7676,370,0.0907,0.1232,76.75999999999999
22,0.8422,450,0.0601,0.086,84.22
23,0.847,608,0.0612,0.1243,84.7
24,0.8543,494,0.061,0.1194,85.42999999999999
