category,keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
aeroplane,0,0.9004,462,0.0471,0.0991,90.03999999999999
aeroplane,1,0.9064,342,0.0285,0.0402,90.64
aeroplane,10,0.5962,156,0.1019,0.0966,59.62
aeroplane,11,0.6238,210,0.1099,0.1295,62.38
aeroplane,12,0.8214,56,0.0851,0.1092,82.14
aeroplane,13,0.7321,56,0.1005,0.1141,73.21
aeroplane,14,0.7143,56,0.075,0.0506,71.43
aeroplane,15,0.9048,42,0.0532,0.0401,90.48
aeroplane,16,0.5588,272,0.1144,0.1313,55.879999999999995
aeroplane,17,0.5048,210,0.1148,0.102,50.480000000000004
aeroplane,18,0.8242,182,0.057,0.0661,82.42
aeroplane,19,0.9722,72,0.0341,0.0274,97.22
aeroplane,2,0.8658,380,0.0506,0.0635,86.58
aeroplane,20,0.9773,132,0.0347,0.0262,97.72999999999999
aeroplane,21,1.0,30,0.0298,0.0149,100.0
aeroplane,22,0.915,306,0.045,0.0692,91.5
aeroplane,23,0.9177,462,0.0473,0.1251,91.77
aeroplane,24,0.9853,272,0.0244,0.067,98.53
aeroplane,3,0.8429,420,0.0456,0.0826,84.28999999999999
aeroplane,4,0.7952,210,0.0663,0.0739,79.52
aeroplane,5,0.825,240,0.0573,0.072,82.5
aeroplane,6,0.625,272,0.1148,0.1482,62.5
aeroplane,7,0.6667,240,0.104,0.1514,66.67
aeroplane,8,0.4917,240,0.2311,0.2349,49.17
aeroplane,9,0.3626,182,0.2509,0.2156,36.26
bicycle,0,0.8263,380,0.0709,0.1423,82.63000000000001
bicycle,1,0.8439,506,0.0601,0.0946,84.39
bicycle,10,0.5184,272,0.1255,0.1045,51.839999999999996
bicycle,13,0.8498,506,0.0536,0.0689,84.98
bicycle,2,0.803,462,0.0669,0.0778,80.30000000000001
bicycle,3,0.7474,380,0.0727,0.0642,74.74
bicycle,4,0.962,342,0.0398,0.0426,96.2
bicycle,5,0.7952,210,0.0644,0.1012,79.52
bicycle,6,0.7955,132,0.0739,0.0974,79.55
bicycle,7,0.75,132,0.0696,0.0868,75.0
bicycle,8,0.6691,272,0.0802,0.0912,66.91
bicycle,9,0.5625,272,0.117,0.115,56.25
bird,0,0.9957,702,0.0234,0.0172,99.57000000000001
bird,10,0.9167,240,0.0412,0.0341,91.67
bird,11,0.9083,240,0.0396,0.0393,90.83
bird,12,0.891,156,0.0436,0.0378,89.1
bird,13,0.8846,156,0.0499,0.0369,88.46000000000001
bird,14,0.9333,240,0.0396,0.0334,93.33
bird,15,0.7818,110,0.0576,0.0496,78.18
bird,16,0.8368,380,0.0589,0.0737,83.67999999999999
bird,3,0.9433,600,0.0323,0.0846,94.33
bird,4,1.0,182,0.0185,0.0117,100.0
bird,5,1.0,132,0.02,0.0143,100.0
bird,6,1.0,600,0.0139,0.0093,100.0
bird,7,1.0,182,0.0154,0.016,100.0
bird,8,1.0,156,0.0178,0.0187,100.0
bird,9,0.9779,272,0.0336,0.0252,97.78999999999999
boat,0,0.565,600,0.1785,0.2075,56.49999999999999
boat,1,0.4269,342,0.1528,0.1255,42.69
boat,10,0.6,90,0.1219,0.1143,60.0
boat,11,0.4679,156,0.1886,0.19,46.79
boat,12,0.4306,72,0.1548,0.1617,43.059999999999995
boat,13,0.7359,462,0.1193,0.1861,73.59
boat,2,0.4327,342,0.1508,0.1301,43.269999999999996
boat,3,0.4333,240,0.1361,0.0949,43.33
boat,4,0.4958,240,0.1166,0.0802,49.58
boat,5,0.4935,306,0.1754,0.178,49.35
boat,6,0.4231,182,0.1688,0.1599,42.309999999999995
boat,7,0.5152,132,0.1392,0.1199,51.519999999999996
boat,8,0.6136,132,0.1114,0.1008,61.36000000000001
boat,9,0.6111,90,0.0941,0.0723,61.11
bottle,0,0.7938,650,0.0849,0.1299,79.38
bottle,1,0.8091,702,0.0851,0.1198,80.91000000000001
bottle,2,0.5584,702,0.1242,0.1261,55.84
bottle,3,0.586,756,0.1219,0.1184,58.599999999999994
