category,threshold,mean_pck,std_pck,median_pck,count
aeroplane,0.05,63.96737479465639,25.49160566663739,66.66666666666666,690
aeroplane,0.1,76.72044855069151,23.142950629269155,80.0,690
aeroplane,0.2,87.9085222582665,17.14251672965963,100.0,690
bicycle,0.05,57.95535575535576,28.28480376847151,63.63636363636363,650
bicycle,0.1,74.44690864690864,28.514058495694908,83.33333333333334,650
bicycle,0.2,88.35497835497836,21.18365569500249,100.0,650
bird,0.05,84.46065725980256,17.033275097422283,85.71428571428571,702
bird,0.1,95.06176673911716,9.735079820540902,100.0,702
bird,0.2,98.90759288195189,4.48806510735621,100.0,702
boat,0.05,34.848448876226655,29.73837136269511,33.33333333333333,702
boat,0.1,51.12484737484737,32.466857199282714,50.0,702
boat,0.2,70.36528286528286,30.885766459336764,75.0,702
bottle,0.05,39.05259076810801,25.603028001504924,37.5,870
bottle,0.1,57.59377850757162,26.98596325273655,60.0,870
bottle,0.2,79.02043422733078,22.197283395012782,84.52380952380952,870
bus,0.05,40.506879882793285,30.64620262897547,37.5,644
bus,0.1,50.874880774748334,34.110831065903646,50.0,644
bus,0.2,63.799474639354074,34.57104569251204,71.42857142857143,644
car,0.05,38.80687599437599,31.699724819552177,33.33333333333333,564
car,0.1,50.03371800579247,33.310430959524375,50.0,564
car,0.2,66.603053418213,31.509538327059957,75.0,564
cat,0.05,67.71623885373886,15.824161941624812,66.66666666666666,600
cat,0.1,78.93397574647575,13.266790401087624,80.0,600
cat,0.2,92.9930389055389,8.685533460793053,100.0,600
chair,0.05,36.96300689334745,26.77558209202088,33.33333333333333,646
chair,0.1,53.29145613588338,28.96677361172797,55.55555555555556,646
chair,0.2,77.0286344202753,27.44420083640358,85.71428571428571,646
cow,0.05,66.65906475450183,24.626203186083576,70.0,640
cow,0.1,82.1782124609137,16.904820370768668,84.61538461538461,640
cow,0.2,94.0578216496427,10.826945369097338,100.0,640
dog,0.05,64.4401455026455,19.379791255305395,66.66666666666666,600
dog,0.1,80.90812798312798,16.741990988739648,83.33333333333334,600
dog,0.2,93.75898730898732,10.070153660117045,100.0,600
horse,0.05,64.81288063788064,25.829583177346848,70.0,600
horse,0.1,80.84422475672477,22.5846033764781,87.5,600
horse,0.2,90.68922605172605,15.976535739216436,100.0,600
motorbike,0.05,57.031158142269256,28.41307444370336,60.0,702
motorbike,0.1,72.92463709130375,28.119510194951147,80.0,702
motorbike,0.2,86.58181838737394,21.260136917906667,100.0,702
person,0.05,61.3272146656762,28.536758860075874,66.66666666666666,650
person,0.1,76.16329909406834,25.655630693318,83.33333333333334,650
person,0.2,86.97159549851857,22.31470225564891,100.0,650
pottedplant,0.05,35.769252016351786,30.885196827033504,33.33333333333333,862
pottedplant,0.1,55.03931425625161,33.40072645294,57.14285714285714,862
pottedplant,0.2,73.23385077155379,31.485458140510463,85.71428571428571,862
sheep,0.05,60.90443349911369,33.11123619930463,66.66666666666666,664
sheep,0.1,74.15818712549755,30.19224201349349,83.33333333333334,664
sheep,0.2,86.44237945199143,24.219458219559314,100.0,664
train,0.05,48.835760616514584,25.403215451054038,50.0,756
train,0.1,70.89127014226221,25.43203978315435,78.57142857142857,756
train,0.2,89.80901575643641,16.47391363348394,100.0,756
tvmonitor,0.05,28.500902998735373,19.24834123078981,30.0,692
tvmonitor,0.1,45.035996838742506,24.368566741193533,46.15384615384615,692
tvmonitor,0.2,64.66373081799382,26.297358331920783,70.0,692
