category,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,range,num_keypoints
cat,75.05244475839442,20.155714521542752,43.93939393939394,100.0,56.060606060606055,15
aeroplane,74.44280736463399,19.249669617928873,31.318681318681318,97.22222222222221,65.9035409035409,25
dog,77.45287820629176,17.229705210699482,51.578947368421055,99.63235294117648,48.053405572755416,16
sheep,70.10737104722067,16.344582833138713,35.0,94.54545454545455,59.54545454545455,21
person,75.09214980925506,16.006586222680212,52.38095238095239,97.14285714285714,44.76190476190476,20
bus,61.52807640354631,14.713103056832974,40.058479532163744,100.0,59.94152046783625,28
car,58.63013838013838,13.663348617651714,37.362637362637365,90.47619047619048,53.11355311355312,30
bottle,58.94049654049653,12.463844044499146,38.15384615384615,78.3076923076923,40.15384615384615,10
cow,80.40109169255565,12.314599402752298,60.17316017316018,98.80952380952381,38.63636363636363,21
train,73.92968190974503,10.958586905825838,50.641025641025635,91.17647058823529,40.535444947209655,18
motorbike,63.988986126995165,10.943042197393996,44.871794871794876,85.66176470588235,40.78996983408747,13
chair,52.84386007874316,10.172762117240323,22.22222222222222,64.28571428571429,42.06349206349207,14
bicycle,66.50936149371334,9.187813845402298,52.57352941176471,80.7017543859649,28.1282249742002,12
tvmonitor,53.91534511922097,8.534288592114457,40.51383399209486,68.18181818181817,27.667984189723317,16
boat,49.70747229084249,8.371202388696759,36.26373626373626,65.55555555555556,29.291819291819294,14
horse,81.35455119262664,7.869721181280178,63.23529411764706,92.3913043478261,29.15601023017903,20
pottedplant,62.87831836967357,7.249930865891217,52.22222222222223,73.28042328042328,21.058201058201053,9
bird,92.8971603254369,7.230520604519321,80.78947368421052,100.0,19.21052631578948,15
