category,hardest_keypoint,hardest_accuracy,easiest_keypoint,easiest_accuracy,accuracy_gap
aeroplane,9,31.318681318681318,19,97.22222222222221,65.9035409035409
bus,0,40.058479532163744,7,100.0,59.941520467836256
sheep,20,35.0,0,94.54545454545455,59.54545454545455
cat,13,43.93939393939394,6,100.0,56.06060606060606
car,26,37.362637362637365,5,90.47619047619048,53.11355311355312
dog,2,51.578947368421055,5,99.63235294117648,48.05340557275542
person,16,52.38095238095239,4,97.14285714285714,44.76190476190475
chair,10,22.22222222222222,12,64.28571428571429,42.06349206349207
motorbike,10,44.871794871794876,4,85.66176470588235,40.78996983408747
train,5,50.641025641025635,14,91.17647058823529,40.535444947209655
bottle,6,38.15384615384615,0,78.3076923076923,40.15384615384615
cow,2,60.17316017316018,6,98.80952380952381,38.63636363636363
boat,6,36.26373626373626,9,65.55555555555556,29.291819291819294
horse,10,63.23529411764706,9,92.3913043478261,29.156010230179035
bicycle,8,52.57352941176471,4,80.7017543859649,28.128224974200194
tvmonitor,3,40.51383399209486,5,68.18181818181817,27.667984189723313
pottedplant,1,52.22222222222223,3,73.28042328042328,21.05820105820105
bird,16,80.78947368421052,4,100.0,19.21052631578948
