keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
9,0.3132,182,0.2438,0.1914,31.319999999999997
8,0.3625,240,0.2383,0.207,36.25
17,0.4429,210,0.1239,0.0949,44.29
16,0.4779,272,0.1508,0.1644,47.79
10,0.5641,156,0.1055,0.0892,56.410000000000004
6,0.5662,272,0.1301,0.1558,56.620000000000005
11,0.6429,210,0.1045,0.1317,64.29
3,0.6976,420,0.0829,0.1062,69.76
13,0.7143,56,0.097,0.1084,71.43
7,0.75,240,0.0814,0.1216,75.0
4,0.7571,210,0.07,0.0728,75.71
12,0.7679,56,0.0997,0.1012,76.79
18,0.7857,182,0.0722,0.0852,78.57
5,0.8,240,0.0696,0.0943,80.0
14,0.8214,56,0.0602,0.0422,82.14
2,0.8421,380,0.0512,0.0578,84.21
15,0.881,42,0.0626,0.036,88.1
1,0.886,342,0.0406,0.0706,88.6
22,0.8922,306,0.0554,0.0755,89.22
20,0.8939,132,0.0531,0.059,89.39
0,0.9199,462,0.0313,0.0425,91.99000000000001
23,0.9372,462,0.0369,0.0954,93.72
24,0.9559,272,0.0273,0.0444,95.59
21,0.9667,30,0.0401,0.0242,96.67
19,0.9722,72,0.041,0.0308,97.22
