keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
10,0.2537,272,0.1293,0.115,25.369999999999997
3,0.3447,380,0.1056,0.0951,34.47
9,0.3456,272,0.1178,0.1184,34.56
8,0.4412,272,0.1086,0.1074,44.12
2,0.4784,462,0.0829,0.0942,47.839999999999996
5,0.5,210,0.0853,0.0958,50.0
1,0.5356,506,0.0978,0.1218,53.559999999999995
0,0.5368,380,0.1227,0.1542,53.68000000000001
6,0.5379,132,0.0935,0.1036,53.790000000000006
4,0.576,342,0.0747,0.0951,57.599999999999994
13,0.6166,506,0.0666,0.0781,61.660000000000004
7,0.6364,132,0.0733,0.0889,63.63999999999999
