keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
16,0.9132,380,0.0671,0.083,91.32000000000001
3,0.9717,600,0.0363,0.0872,97.17
12,0.9808,156,0.0496,0.0507,98.08
15,0.9909,110,0.0608,0.0436,99.09
13,0.9936,156,0.0508,0.04,99.36
11,0.9958,240,0.0374,0.0419,99.58
14,0.9958,240,0.048,0.042,99.58
0,0.9986,702,0.0229,0.019,99.86
4,1.0,182,0.018,0.0109,100.0
5,1.0,132,0.0201,0.0156,100.0
6,1.0,600,0.0167,0.0112,100.0
7,1.0,182,0.016,0.016,100.0
8,1.0,156,0.0169,0.017,100.0
9,1.0,272,0.033,0.0258,100.0
10,1.0,240,0.0414,0.036,100.0
