keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
6,0.3626,182,0.1968,0.1685,36.26
3,0.3958,240,0.1414,0.0938,39.58
11,0.4167,156,0.2137,0.1959,41.67
5,0.4216,306,0.2044,0.1924,42.16
2,0.4269,342,0.1475,0.1241,42.69
1,0.4825,342,0.1441,0.1286,48.25
4,0.5042,240,0.1115,0.0777,50.42
0,0.5183,600,0.1916,0.209,51.83
10,0.5222,90,0.1331,0.1302,52.22
12,0.5417,72,0.1384,0.1612,54.169999999999995
8,0.553,132,0.1223,0.1056,55.300000000000004
7,0.5606,132,0.1302,0.1196,56.06
13,0.5974,462,0.1666,0.2057,59.74
9,0.6556,90,0.0914,0.0724,65.56
