keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
0,0.4006,342,0.1934,0.1683,40.06
1,0.4295,156,0.1917,0.1826,42.95
16,0.4368,380,0.1952,0.1868,43.68
29,0.4396,182,0.2146,0.2158,43.96
27,0.4621,132,0.2204,0.2167,46.21
19,0.4678,342,0.18,0.1821,46.78
18,0.487,462,0.1636,0.1614,48.699999999999996
17,0.4958,240,0.1767,0.1892,49.58
5,0.5,12,0.1352,0.1598,50.0
26,0.5,90,0.2239,0.2335,50.0
23,0.5556,90,0.1316,0.1246,55.559999999999995
28,0.5682,132,0.1725,0.1931,56.82000000000001
11,0.6154,182,0.102,0.1398,61.53999999999999
20,0.625,56,0.117,0.1302,62.5
2,0.6333,240,0.1119,0.1115,63.33
12,0.6603,156,0.103,0.1168,66.03
22,0.6667,72,0.1085,0.1298,66.67
6,0.6667,12,0.0829,0.0498,66.67
3,0.6703,182,0.0864,0.0892,67.03
14,0.6762,210,0.1105,0.1587,67.62
21,0.6909,110,0.0917,0.1283,69.08999999999999
15,0.6923,156,0.1024,0.1064,69.23
24,0.7,90,0.0788,0.1144,70.0
10,0.7111,90,0.0913,0.1057,71.11
13,0.7473,182,0.0884,0.105,74.72999999999999
4,0.8485,132,0.0437,0.0596,84.85000000000001
25,0.881,42,0.0642,0.0849,88.1
7,1.0,6,0.0223,0.0189,100.0
