keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
21,0.4818,110,0.1916,0.163,48.18
7,0.5667,90,0.201,0.2019,56.67
25,0.5714,42,0.1991,0.1926,57.14
11,0.5769,182,0.1656,0.152,57.69
20,0.5833,72,0.187,0.1682,58.330000000000005
26,0.5934,182,0.194,0.1552,59.34
14,0.619,210,0.1736,0.1716,61.9
2,0.6439,132,0.1674,0.184,64.39
24,0.6515,132,0.152,0.1718,65.14999999999999
17,0.6538,156,0.1565,0.1536,65.38000000000001
15,0.6607,56,0.1671,0.2017,66.07
27,0.6667,156,0.1747,0.1753,66.67
16,0.6714,210,0.1496,0.1398,67.14
1,0.7121,132,0.1382,0.1741,71.21
0,0.7198,182,0.1398,0.1702,71.98
10,0.7364,110,0.1329,0.1407,73.64
3,0.7364,110,0.1016,0.131,73.64
9,0.75,12,0.1317,0.1349,75.0
6,0.75,132,0.1513,0.1834,75.0
19,0.7714,210,0.1245,0.1155,77.14
18,0.7952,210,0.1188,0.1088,79.52
28,0.8182,132,0.114,0.0854,81.82000000000001
29,0.8626,182,0.1039,0.0914,86.26
8,0.875,56,0.0769,0.1194,87.5
22,0.8889,72,0.0861,0.1017,88.89
13,0.8909,110,0.0824,0.0929,89.09
23,0.8929,56,0.0794,0.0845,89.29
4,0.9048,42,0.0629,0.0837,90.48
12,0.9444,72,0.05,0.0701,94.44
5,0.9524,42,0.0357,0.0502,95.24000000000001
