keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
13,0.3182,132,0.1574,0.1529,31.819999999999997
11,0.3736,182,0.1693,0.1678,37.36
12,0.3864,132,0.1626,0.177,38.64
9,0.4032,506,0.1111,0.1091,40.32
10,0.4416,462,0.1203,0.1347,44.16
14,0.4615,156,0.0811,0.0722,46.150000000000006
2,0.655,600,0.0785,0.11,65.5
0,0.6632,380,0.0504,0.0517,66.32000000000001
1,0.6905,420,0.0476,0.053,69.05
3,0.6975,552,0.0564,0.0731,69.75
5,0.7867,600,0.028,0.0324,78.67
4,0.7989,552,0.0279,0.0272,79.89
6,0.9654,462,0.018,0.0135,96.54
8,0.9762,462,0.0138,0.0131,97.61999999999999
7,0.9783,600,0.0137,0.0113,97.83
