keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
10,0.1389,72,0.1785,0.1118,13.889999999999999
1,0.3024,506,0.1312,0.1211,30.240000000000002
3,0.3333,240,0.0949,0.08,33.33
7,0.3333,210,0.1059,0.0871,33.33
2,0.3738,420,0.1014,0.0865,37.38
0,0.3762,420,0.1189,0.1147,37.62
4,0.3824,306,0.1376,0.1338,38.24
11,0.3929,56,0.1049,0.0794,39.290000000000006
6,0.4038,156,0.0956,0.0838,40.38
9,0.417,506,0.1135,0.1074,41.699999999999996
8,0.4447,506,0.1088,0.1147,44.47
5,0.4476,210,0.1307,0.1448,44.76
12,0.4524,42,0.0916,0.0847,45.24
13,0.5,2,0.1005,0.079,50.0
