keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
2,0.6017,462,0.1026,0.1178,60.17
3,0.6368,380,0.0997,0.1247,63.68000000000001
11,0.641,156,0.0912,0.0891,64.1
12,0.6474,156,0.1062,0.1187,64.74
19,0.6607,56,0.0871,0.0855,66.07
1,0.681,210,0.0736,0.08,68.10000000000001
20,0.7444,90,0.074,0.0885,74.44
10,0.7661,342,0.066,0.0689,76.61
0,0.7667,240,0.0521,0.0644,76.67
9,0.7974,306,0.0592,0.0645,79.74
17,0.8194,72,0.0791,0.1054,81.94
13,0.8333,6,0.0517,0.0455,83.33
16,0.8366,306,0.0584,0.0633,83.66
18,0.8727,110,0.0529,0.0572,87.27000000000001
5,0.8987,306,0.0439,0.0528,89.87
14,0.9095,210,0.0471,0.0492,90.95
4,0.9357,420,0.0323,0.0451,93.57
8,0.9459,462,0.0315,0.0427,94.59
15,0.9477,306,0.0377,0.0311,94.77
7,0.9532,342,0.0246,0.0283,95.32000000000001
6,0.9881,420,0.0224,0.0287,98.81
