keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
2,0.3289,380,0.1115,0.0983,32.89
10,0.3711,380,0.1097,0.1148,37.11
3,0.3791,306,0.088,0.0738,37.91
12,0.3897,272,0.1081,0.1034,38.97
13,0.4505,182,0.1319,0.151,45.050000000000004
9,0.4678,342,0.1071,0.1295,46.78
14,0.5435,506,0.0759,0.0917,54.35
1,0.5714,42,0.0658,0.0681,57.14
11,0.6813,342,0.0672,0.0915,68.13
15,0.6923,156,0.0507,0.0497,69.23
0,0.7857,42,0.0332,0.0431,78.57
4,0.7941,306,0.0271,0.0292,79.41
5,0.8529,272,0.0241,0.022,85.28999999999999
7,0.8656,506,0.0331,0.0377,86.56
8,0.9216,306,0.0247,0.0385,92.16
6,0.9351,462,0.0209,0.0429,93.51
