keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
11,0.7941,306,0.1086,0.1325,79.41
10,0.8088,272,0.1124,0.1153,80.88
12,0.8352,182,0.0982,0.1246,83.52000000000001
14,0.8571,42,0.1025,0.1269,85.71
13,0.8654,156,0.088,0.1333,86.53999999999999
18,0.881,42,0.0839,0.1124,88.1
5,0.8958,240,0.0657,0.1121,89.58
19,0.9048,42,0.0859,0.1555,90.48
8,0.9134,462,0.0648,0.1168,91.34
6,0.9238,210,0.0583,0.1078,92.38
16,0.9248,306,0.0753,0.0972,92.47999999999999
17,0.9281,306,0.0729,0.093,92.81
15,0.9396,182,0.0536,0.0918,93.96
7,0.9505,182,0.0487,0.0791,95.05
4,0.956,182,0.0577,0.0725,95.6
2,0.9704,506,0.0512,0.0589,97.04
3,0.974,462,0.0472,0.0615,97.39999999999999
9,0.9855,552,0.0375,0.0611,98.55000000000001
1,1.0,42,0.033,0.0372,100.0
0,1.0,30,0.0551,0.0402,100.0
