keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
19,0.7143,42,0.125,0.1379,71.43
16,0.7381,42,0.1508,0.136,73.81
13,0.7476,210,0.1227,0.1186,74.76
17,0.7857,56,0.1049,0.1214,78.57
9,0.8132,380,0.1164,0.1557,81.32000000000001
15,0.8187,182,0.1141,0.0992,81.87
18,0.8333,42,0.1386,0.1403,83.33
10,0.8476,210,0.1014,0.0964,84.76
11,0.8542,240,0.1027,0.1098,85.42
12,0.8625,240,0.0923,0.1022,86.25
14,0.8788,132,0.0972,0.1026,87.88
8,0.9048,210,0.0887,0.0983,90.48
1,0.9619,210,0.0382,0.06,96.19
0,0.9679,156,0.0362,0.0586,96.78999999999999
6,0.9708,342,0.0443,0.0721,97.08
5,0.9762,462,0.0323,0.0635,97.61999999999999
7,0.9833,420,0.0266,0.0526,98.33
4,0.9857,420,0.0218,0.0439,98.57000000000001
2,0.9889,90,0.044,0.0546,98.89
3,1.0,210,0.0279,0.0332,100.0
