keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
20,0.35,20,0.2114,0.2153,35.0
12,0.5222,90,0.1383,0.1572,52.22
11,0.5238,42,0.131,0.1464,52.38
19,0.5667,30,0.1317,0.1375,56.67
10,0.5778,90,0.1269,0.1399,57.78
3,0.5789,380,0.1232,0.1502,57.89
18,0.5985,132,0.1104,0.1097,59.85
13,0.6,20,0.1057,0.1035,60.0
17,0.6182,110,0.1175,0.1245,61.82
14,0.6556,90,0.1124,0.1381,65.56
2,0.6667,420,0.1167,0.1685,66.67
9,0.6727,110,0.1104,0.1391,67.27
4,0.7778,306,0.0755,0.1005,77.78
1,0.8106,132,0.0749,0.1032,81.06
15,0.8141,156,0.0683,0.0772,81.41000000000001
5,0.8655,342,0.058,0.1019,86.55000000000001
8,0.883,342,0.0384,0.071,88.3
7,0.8889,342,0.0405,0.0695,88.89
6,0.8895,380,0.0471,0.0811,88.94999999999999
16,0.9167,156,0.0504,0.0745,91.67
0,0.9455,110,0.0431,0.0649,94.55
