keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
5,0.5064,156,0.1535,0.1657,50.63999999999999
4,0.6029,272,0.1435,0.1679,60.29
10,0.6504,552,0.0833,0.0736,65.03999999999999
3,0.6553,702,0.096,0.0866,65.53
2,0.6781,702,0.0876,0.0841,67.81
1,0.6838,702,0.088,0.0906,68.38
0,0.6866,702,0.0854,0.0877,68.66
8,0.6867,600,0.0822,0.0747,68.67
7,0.7197,132,0.097,0.1201,71.97
11,0.7253,506,0.0754,0.0684,72.53
16,0.7735,702,0.0625,0.0606,77.35
17,0.7849,702,0.0587,0.0625,78.49000000000001
9,0.7883,600,0.0644,0.0676,78.83
6,0.7967,182,0.0686,0.067,79.67
15,0.8713,342,0.0492,0.0395,87.13
13,0.8857,420,0.0476,0.0374,88.57000000000001
12,0.9,380,0.0444,0.0388,90.0
14,0.9118,306,0.0496,0.0388,91.18
