keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
3,0.6206,506,0.1966,0.1702,62.06
4,0.6225,506,0.176,0.1682,62.25000000000001
0,0.6789,380,0.159,0.1658,67.89
6,0.6905,462,0.1548,0.151,69.05
7,0.7105,380,0.1564,0.1343,71.05
11,0.712,552,0.1707,0.1609,71.2
1,0.7405,420,0.1555,0.1312,74.05000000000001
9,0.7451,506,0.1447,0.1228,74.51
10,0.7452,420,0.1325,0.1635,74.52
2,0.7456,342,0.1351,0.174,74.56
12,0.75,552,0.1272,0.1577,75.0
8,0.769,420,0.111,0.1309,76.9
15,0.7895,380,0.1307,0.1285,78.95
5,0.8103,506,0.1107,0.1166,81.03
14,0.8117,462,0.1086,0.12,81.17
13,0.8134,552,0.1207,0.1173,81.34
