category,threshold,mean_pck,std_pck,median_pck,count
aeroplane,0.05,59.426884759920824,24.54636914399933,60.0,690
aeroplane,0.1,73.48744687395582,22.9685679578988,75.0,690
aeroplane,0.2,86.61974807658952,17.73396769088667,91.66666666666666,690
bicycle,0.05,45.475641025641025,27.699938915380358,50.0,650
bicycle,0.1,64.22220557220557,30.260732130963945,70.71428571428572,650
bicycle,0.2,82.83774558774559,24.055141456025925,100.0,650
bird,0.05,83.28956537289872,17.28271472190655,85.71428571428571,702
bird,0.1,94.14943832678877,11.080779608624976,100.0,702
bird,0.2,98.64394192385646,4.813717004728357,100.0,702
boat,0.05,29.377685072129513,28.107077891630652,25.0,702
boat,0.1,45.880364491475596,31.790487446578055,50.0,702
boat,0.2,65.49897119341564,32.65164351702851,75.0,702
bottle,0.05,40.58369823024995,27.467057818123276,37.5,870
bottle,0.1,58.539226418536764,28.812197237421984,62.5,870
bottle,0.2,78.64550264550265,23.99809454364661,85.71428571428571,870
bus,0.05,35.547789844122505,28.30509298190374,33.33333333333333,644
bus,0.1,45.714908607103524,32.19317312100843,50.0,644
bus,0.2,59.457588802217956,35.47573281133655,66.66666666666666,644
car,0.05,33.928758888865275,30.2960692842865,28.57142857142857,564
car,0.1,46.49227570105229,32.331921855034246,45.45454545454545,564
car,0.2,62.62443353533779,32.44758253088273,66.66666666666666,564
cat,0.05,70.60238511488511,17.126129443428525,72.72727272727273,600
cat,0.1,80.38435684685685,13.282110029022364,81.81818181818183,600
cat,0.2,93.00497187997188,8.511075762446492,100.0,600
chair,0.05,34.96806856713977,26.244534741142594,33.33333333333333,646
chair,0.1,51.91580220604988,29.336089406902136,55.55555555555556,646
chair,0.2,77.78166449993076,27.691598056242093,87.5,646
cow,0.05,67.31610584440499,23.978272814049664,70.0,640
cow,0.1,81.65607071618827,18.474077158651713,85.71428571428571,640
cow,0.2,94.18742260679423,10.87927664513753,100.0,640
dog,0.05,61.211830299330295,21.16484529638989,63.63636363636363,600
dog,0.1,76.96025456025457,19.10996449432788,80.0,600
dog,0.2,92.18886992636993,11.700667043237853,100.0,600
horse,0.05,63.415814278314286,26.203446691717282,66.66666666666666,600
horse,0.1,79.99520757020757,23.65496979786394,87.5,600
horse,0.2,90.57863432863431,16.926370390088152,100.0,600
motorbike,0.05,45.59987337765115,29.24697400545108,50.0,702
motorbike,0.1,62.40345045900601,30.381831034130087,66.66666666666666,702
motorbike,0.2,80.12249581694026,25.018011795296996,86.60714285714286,702
person,0.05,62.629327510096736,29.322416920189216,66.66666666666666,650
person,0.1,78.10258971797433,25.883071677604246,85.71428571428571,650
person,0.2,89.68387638003024,19.29345173377577,100.0,650
pottedplant,0.05,39.59907745000552,31.530251762853776,40.0,862
pottedplant,0.1,60.45773026921519,33.73574148940453,62.5,862
pottedplant,0.2,75.42886605531618,31.441735548634195,87.5,862
sheep,0.05,55.49910481331016,34.89656445264622,60.0,664
sheep,0.1,70.69965196282968,32.75217074907478,82.57575757575759,664
sheep,0.2,86.3649382401597,24.48133748026222,100.0,664
train,0.05,49.00873193531923,23.910897536009728,50.0,756
train,0.1,73.16456764869461,22.736151210466225,78.57142857142857,756
train,0.2,91.10892818234088,14.667324574665518,100.0,756
tvmonitor,0.05,33.88457520321682,20.47257863459398,33.33333333333333,692
tvmonitor,0.1,50.15144136531419,24.823338698482143,50.0,692
tvmonitor,0.2,69.31833921537678,25.149965558889154,75.0,692
