keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
9,0.2637,182,0.4589,0.3018,26.369999999999997
8,0.2875,240,0.4703,0.3316,28.749999999999996
3,0.431,420,0.2469,0.2005,43.1
16,0.4522,272,0.3562,0.3328,45.22
17,0.4524,210,0.3615,0.331,45.24
13,0.5536,56,0.1833,0.1366,55.36
6,0.5551,272,0.2274,0.2129,55.510000000000005
0,0.619,462,0.2873,0.3441,61.9
10,0.6474,156,0.179,0.1602,64.74
24,0.6875,272,0.264,0.3321,68.75
18,0.6978,182,0.1723,0.1971,69.78
11,0.719,210,0.1491,0.1638,71.89999999999999
7,0.7625,240,0.1358,0.1787,76.25
14,0.7679,56,0.1358,0.0961,76.79
2,0.7868,380,0.15,0.2292,78.68
1,0.7953,342,0.1667,0.2598,79.53
12,0.8036,56,0.1326,0.1272,80.36
5,0.8083,240,0.1005,0.123,80.83
22,0.8105,306,0.132,0.1636,81.05
20,0.8106,132,0.1378,0.1846,81.06
19,0.8611,72,0.1,0.1063,86.11
23,0.868,462,0.0986,0.1896,86.8
4,0.8905,210,0.0937,0.0923,89.05
15,0.9286,42,0.1171,0.0627,92.86
21,1.0,30,0.0518,0.0371,100.0
