keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
3,0.4617,600,0.292,0.3797,46.17
15,0.5364,110,0.117,0.1086,53.64
16,0.5447,380,0.2101,0.273,54.47
12,0.5513,156,0.1129,0.093,55.13
11,0.5667,240,0.1279,0.1116,56.67
13,0.5833,156,0.1087,0.0729,58.330000000000005
14,0.625,240,0.0903,0.0839,62.5
9,0.636,272,0.0807,0.0622,63.6
10,0.6375,240,0.1105,0.1262,63.74999999999999
6,0.8633,600,0.0697,0.1104,86.33
0,0.8689,702,0.0533,0.0492,86.89
8,0.8974,156,0.0432,0.0352,89.74
5,0.9318,132,0.0457,0.036,93.17999999999999
4,0.9396,182,0.0538,0.0699,93.96
7,0.9835,182,0.0369,0.0274,98.35000000000001
