keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
4,0.0417,240,0.2579,0.1731,4.17
2,0.0731,342,0.3253,0.2308,7.31
1,0.0789,342,0.3068,0.2616,7.89
8,0.0833,132,0.2387,0.1687,8.33
3,0.1,240,0.283,0.1988,10.0
10,0.1222,90,0.2649,0.2575,12.22
6,0.1813,182,0.4169,0.2917,18.13
9,0.1889,90,0.1574,0.122,18.89
5,0.1928,306,0.4292,0.3587,19.28
0,0.2017,600,0.4433,0.3713,20.169999999999998
11,0.2179,156,0.436,0.3705,21.790000000000003
7,0.2424,132,0.2202,0.2959,24.240000000000002
12,0.2778,72,0.3058,0.2967,27.779999999999998
13,0.2987,462,0.3622,0.3581,29.87
