keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
6,0.25,12,0.3026,0.2763,25.0
5,0.25,12,0.3887,0.3164,25.0
28,0.2727,132,0.4045,0.352,27.27
1,0.2885,156,0.3881,0.3184,28.849999999999998
0,0.3012,342,0.4163,0.3461,30.12
19,0.3099,342,0.3515,0.3184,30.990000000000002
16,0.3184,380,0.3584,0.3106,31.840000000000003
29,0.3736,182,0.4208,0.3855,37.36
18,0.3874,462,0.3253,0.3124,38.74
17,0.3917,240,0.3247,0.3233,39.17
27,0.3939,132,0.3724,0.3567,39.39
2,0.4125,240,0.2393,0.2446,41.25
26,0.4444,90,0.3905,0.3929,44.440000000000005
3,0.4945,182,0.2181,0.2428,49.45
15,0.5,156,0.182,0.2064,50.0
23,0.5,90,0.1698,0.1856,50.0
21,0.5364,110,0.184,0.1927,53.64
22,0.5417,72,0.1645,0.201,54.169999999999995
20,0.5536,56,0.1659,0.1833,55.36
11,0.5604,182,0.1592,0.1935,56.04
12,0.5833,156,0.1379,0.1607,58.330000000000005
10,0.6,90,0.138,0.1494,60.0
7,0.6667,6,0.1975,0.298,66.67
13,0.6758,182,0.1478,0.2027,67.58
24,0.6778,90,0.1541,0.2025,67.78
25,0.7381,42,0.0732,0.1018,73.81
14,0.7524,210,0.1718,0.2467,75.24
4,0.7652,132,0.1109,0.2122,76.52
