keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
26,0.1593,182,0.3242,0.2667,15.93
9,0.1667,12,0.2835,0.2804,16.669999999999998
28,0.1742,132,0.2432,0.1902,17.419999999999998
19,0.2286,210,0.2199,0.2149,22.86
21,0.2455,110,0.3223,0.2728,24.55
2,0.25,132,0.3716,0.3226,25.0
6,0.25,132,0.3341,0.3322,25.0
17,0.25,156,0.2894,0.27,25.0
16,0.2571,210,0.2965,0.287,25.71
4,0.2619,42,0.2037,0.2194,26.19
29,0.2747,182,0.198,0.1689,27.47
20,0.2778,72,0.2804,0.2857,27.779999999999998
24,0.2879,132,0.317,0.3147,28.79
27,0.2885,156,0.2775,0.2618,28.849999999999998
14,0.3,210,0.2939,0.2935,30.0
7,0.3,90,0.363,0.333,30.0
18,0.3048,210,0.1894,0.1771,30.48
25,0.3571,42,0.2399,0.2745,35.709999999999994
0,0.3791,182,0.2896,0.3155,37.91
5,0.381,42,0.094,0.0981,38.1
11,0.3956,182,0.2526,0.2784,39.56
3,0.4,110,0.2109,0.2678,40.0
1,0.4242,132,0.26,0.2951,42.42
8,0.4464,56,0.1601,0.2439,44.64
22,0.4722,72,0.1519,0.1918,47.22
10,0.5818,110,0.1621,0.2563,58.18
23,0.6071,56,0.0694,0.0845,60.709999999999994
13,0.6182,110,0.0986,0.1467,61.82
15,0.6429,56,0.2162,0.3287,64.29
12,0.7361,72,0.0797,0.1263,73.61
