keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
10,0.125,72,0.4065,0.2955,12.5
2,0.2262,420,0.2769,0.2544,22.62
7,0.2429,210,0.2314,0.2247,24.29
1,0.251,506,0.3107,0.2932,25.1
6,0.2692,156,0.2148,0.1762,26.919999999999998
0,0.3214,420,0.2775,0.276,32.14
9,0.3478,506,0.3467,0.3734,34.78
8,0.3834,506,0.318,0.3655,38.34
4,0.3922,306,0.3107,0.3265,39.22
3,0.4125,240,0.2047,0.2052,41.25
11,0.4464,56,0.2096,0.2075,44.64
5,0.5,210,0.2776,0.37,50.0
13,0.5,2,0.2602,0.3432,50.0
12,0.5238,42,0.1624,0.1409,52.38
