keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
11,0.3077,156,0.2787,0.271,30.769999999999996
19,0.3214,56,0.3001,0.3036,32.14
20,0.3444,90,0.2649,0.2471,34.44
12,0.3526,156,0.2663,0.2533,35.260000000000005
14,0.381,210,0.2384,0.2453,38.1
17,0.3889,72,0.2361,0.1844,38.89
3,0.4289,380,0.2119,0.2271,42.89
2,0.4459,462,0.1989,0.2084,44.59
10,0.5058,342,0.1539,0.1589,50.580000000000005
9,0.5425,306,0.1403,0.1372,54.25
18,0.5455,110,0.162,0.1586,54.55
16,0.6176,306,0.1248,0.1307,61.760000000000005
15,0.6569,306,0.1068,0.098,65.69
13,0.6667,6,0.2354,0.3194,66.67
4,0.6833,420,0.0731,0.0762,68.33
1,0.7143,210,0.1033,0.1099,71.43
5,0.7222,306,0.0812,0.1099,72.22
8,0.7835,462,0.0877,0.1307,78.35
7,0.8421,342,0.0536,0.0629,84.21
0,0.8458,240,0.0659,0.0833,84.58
6,0.9357,420,0.0436,0.0466,93.57
