keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
10,0.2096,272,0.2773,0.2116,20.96
14,0.2619,42,0.5453,0.542,26.19
11,0.2647,306,0.3256,0.2574,26.47
17,0.2778,306,0.2733,0.2312,27.779999999999998
12,0.2802,182,0.3278,0.2683,28.02
16,0.2876,306,0.2676,0.2205,28.76
13,0.2885,156,0.3133,0.2792,28.849999999999998
18,0.381,42,0.2509,0.2108,38.1
19,0.4286,42,0.2254,0.2121,42.86
2,0.4585,506,0.2278,0.3011,45.85
3,0.4654,462,0.2782,0.3695,46.54
6,0.5286,210,0.2068,0.284,52.86
8,0.6017,462,0.1914,0.2562,60.17
15,0.6044,182,0.1564,0.2093,60.440000000000005
4,0.6209,182,0.1216,0.1564,62.09
7,0.6374,182,0.1595,0.2185,63.739999999999995
9,0.6558,552,0.1145,0.1463,65.58
5,0.6792,240,0.1036,0.1275,67.92
1,0.6905,42,0.0799,0.0725,69.05
0,0.9,30,0.0553,0.0477,90.0
