keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
5,0.2115,156,0.2921,0.3535,21.15
1,0.2393,702,0.1977,0.199,23.93
3,0.2479,702,0.1831,0.1893,24.79
4,0.2537,272,0.3009,0.3499,25.369999999999997
6,0.3187,182,0.1307,0.134,31.869999999999997
2,0.3276,702,0.1628,0.1801,32.76
17,0.3376,702,0.1375,0.1514,33.76
0,0.3462,702,0.1805,0.2029,34.62
14,0.3529,306,0.1185,0.105,35.29
15,0.3567,342,0.1062,0.1041,35.67
16,0.3746,702,0.1444,0.1537,37.46
13,0.3762,420,0.1017,0.0936,37.62
12,0.4132,380,0.1036,0.1046,41.32
7,0.4621,132,0.1522,0.2069,46.21
10,0.4946,552,0.1379,0.1665,49.46
9,0.5033,600,0.1136,0.1628,50.33
11,0.5059,506,0.1077,0.1397,50.59
8,0.5283,600,0.1242,0.1486,52.83
