keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
7,0.1237,380,0.2327,0.2861,12.370000000000001
3,0.1285,506,0.3613,0.4599,12.85
11,0.1504,552,0.2468,0.2993,15.040000000000001
1,0.1548,420,0.2629,0.289,15.479999999999999
9,0.1779,506,0.2151,0.25,17.79
15,0.2158,380,0.1519,0.1652,21.58
5,0.2253,506,0.205,0.252,22.53
13,0.2264,552,0.1815,0.2594,22.64
4,0.253,506,0.2759,0.4157,25.3
2,0.3041,342,0.3669,0.4328,30.409999999999997
0,0.3211,380,0.2447,0.3433,32.11
6,0.3398,462,0.2444,0.329,33.98
12,0.5417,552,0.1492,0.313,54.169999999999995
14,0.6082,462,0.099,0.1903,60.81999999999999
8,0.6833,420,0.0954,0.1884,68.33
10,0.7,420,0.0991,0.211,70.0
