category,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,range,num_keypoints
person,50.10425867991657,25.928469233920588,14.285714285714285,88.09523809523809,73.80952380952381,20
cat,59.824948786276025,24.322857614879172,28.846153846153843,95.67099567099568,66.82484182484183,15
dog,51.869513423284964,23.55639563097441,23.626373626373624,92.85714285714286,69.23076923076923,16
cow,57.299105120312554,19.278796597205865,30.76923076923077,93.57142857142857,62.8021978021978,21
horse,47.609902068661675,19.234492638199992,20.955882352941178,90.0,69.04411764705883,20
aeroplane,51.61796182833335,19.20220988509923,14.285714285714285,83.33333333333334,69.04761904761905,25
tvmonitor,54.15342436294954,18.472098425248728,29.841897233201582,87.85714285714286,58.01524562394127,16
bird,70.84792541861685,18.115682049862325,46.166666666666664,98.35164835164835,52.18498168498168,15
sheep,38.178360126613114,16.785142878317668,20.0,63.1578947368421,43.1578947368421,21
car,51.23380323380323,16.63538767396022,26.923076923076923,87.5,60.57692307692308,30
bus,48.35757209582398,16.013707242574135,25.0,76.51515151515152,51.515151515151516,28
bicycle,37.02360961951756,12.63427842579449,17.27941176470588,58.69565217391305,41.41624040920717,12
bottle,48.20844847160636,12.295023264891142,27.53846153846154,63.24786324786324,35.7094017094017,10
chair,35.298681117323795,11.953877475486555,12.5,52.38095238095239,39.88095238095239,14
pottedplant,43.40856476630695,11.868926521703875,26.780626780626783,62.55411255411255,35.77348577348577,9
motorbike,34.647575400969075,10.568530644950085,19.871794871794872,53.833333333333336,33.96153846153847,13
train,55.628645705671175,9.835949345951807,37.17948717948718,73.3201581027668,36.140670923279615,18
boat,28.15926622765411,7.822189535762135,18.333333333333332,41.66666666666667,23.333333333333336,14
