category,hardest_keypoint,hardest_accuracy,easiest_keypoint,easiest_accuracy,accuracy_gap
person,18,14.285714285714285,3,88.09523809523809,73.8095238095238
dog,13,23.626373626373624,0,92.85714285714286,69.23076923076924
aeroplane,9,14.285714285714285,21,83.33333333333334,69.04761904761907
horse,10,20.955882352941178,0,90.0,69.04411764705883
cat,14,28.846153846153843,6,95.67099567099568,66.82484182484184
cow,11,30.76923076923077,6,93.57142857142857,62.802197802197796
car,26,26.923076923076923,23,87.5,60.57692307692308
tvmonitor,3,29.841897233201582,10,87.85714285714286,58.01524562394128
bird,3,46.166666666666664,7,98.35164835164835,52.184981684981686
bus,5,25.0,4,76.51515151515152,51.515151515151516
sheep,19,20.0,5,63.1578947368421,43.1578947368421
bicycle,10,17.27941176470588,13,58.69565217391305,41.41624040920716
chair,10,12.5,12,52.38095238095239,39.88095238095239
train,5,37.17948717948718,11,73.3201581027668,36.140670923279615
pottedplant,0,26.780626780626783,8,62.55411255411255,35.77348577348577
bottle,6,27.53846153846154,1,63.24786324786324,35.7094017094017
motorbike,10,19.871794871794872,6,53.833333333333336,33.96153846153847
boat,4,18.333333333333332,12,41.66666666666667,23.33333333333334
