keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
9,0.0879,182,0.4589,0.3018,8.790000000000001
8,0.1,240,0.4703,0.3316,10.0
17,0.1143,210,0.3615,0.331,11.43
15,0.119,42,0.1171,0.0627,11.899999999999999
16,0.1654,272,0.3562,0.3328,16.54
13,0.2143,56,0.1833,0.1366,21.43
14,0.2321,56,0.1358,0.0961,23.21
12,0.2321,56,0.1326,0.1272,23.21
6,0.2426,272,0.2274,0.2129,24.26
10,0.2564,156,0.179,0.1602,25.64
3,0.281,420,0.2469,0.2005,28.1
19,0.3333,72,0.1,0.1063,33.33
24,0.3382,272,0.264,0.3321,33.82
18,0.3681,182,0.1723,0.1971,36.809999999999995
20,0.4091,132,0.1378,0.1846,40.910000000000004
7,0.4208,240,0.1358,0.1787,42.08
11,0.4238,210,0.1491,0.1638,42.38
22,0.4248,306,0.132,0.1636,42.480000000000004
0,0.4524,462,0.2873,0.3441,45.24
4,0.5,210,0.0937,0.0923,50.0
2,0.5289,380,0.15,0.2292,52.89
1,0.5409,342,0.1667,0.2598,54.09
5,0.5792,240,0.1005,0.123,57.92
21,0.6,30,0.0518,0.0371,60.0
23,0.6797,462,0.0986,0.1896,67.97
