keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
4,0.1833,240,0.2579,0.1731,18.33
2,0.1842,342,0.3253,0.2308,18.42
1,0.2105,342,0.3068,0.2616,21.05
8,0.2197,132,0.2387,0.1687,21.97
10,0.2222,90,0.2649,0.2575,22.220000000000002
3,0.2375,240,0.283,0.1988,23.75
6,0.2418,182,0.4169,0.2917,24.18
5,0.3039,306,0.4292,0.3587,30.39
11,0.3077,156,0.436,0.3705,30.769999999999996
0,0.3117,600,0.4433,0.3713,31.169999999999998
9,0.3444,90,0.1574,0.122,34.44
7,0.3561,132,0.2202,0.2959,35.61
13,0.4026,462,0.3622,0.3581,40.26
12,0.4167,72,0.3058,0.2967,41.67
