keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
28,0.1136,132,0.4045,0.352,11.360000000000001
1,0.141,156,0.3881,0.3184,14.099999999999998
0,0.1491,342,0.4163,0.3461,14.91
6,0.1667,12,0.3026,0.2763,16.669999999999998
7,0.1667,6,0.1975,0.298,16.669999999999998
19,0.1901,342,0.3515,0.3184,19.009999999999998
27,0.2045,132,0.3724,0.3567,20.45
17,0.2292,240,0.3247,0.3233,22.919999999999998
16,0.2342,380,0.3584,0.3106,23.419999999999998
5,0.25,12,0.3887,0.3164,25.0
18,0.2814,462,0.3253,0.3124,28.139999999999997
29,0.2912,182,0.4208,0.3855,29.12
26,0.3222,90,0.3905,0.3929,32.22
15,0.3333,156,0.182,0.2064,33.33
10,0.3444,90,0.138,0.1494,34.44
2,0.3458,240,0.2393,0.2446,34.58
23,0.3556,90,0.1698,0.1856,35.56
21,0.3727,110,0.184,0.1927,37.269999999999996
3,0.3791,182,0.2181,0.2428,37.91
12,0.4103,156,0.1379,0.1607,41.03
20,0.4107,56,0.1659,0.1833,41.07
22,0.4444,72,0.1645,0.201,44.440000000000005
11,0.4615,182,0.1592,0.1935,46.150000000000006
13,0.522,182,0.1478,0.2027,52.2
14,0.5286,210,0.1718,0.2467,52.86
24,0.5556,90,0.1541,0.2025,55.559999999999995
4,0.5606,132,0.1109,0.2122,56.06
25,0.6429,42,0.0732,0.1018,64.29
