keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
2,0.3939,132,0.3716,0.3226,39.39
7,0.4222,90,0.363,0.333,42.22
21,0.4273,110,0.3223,0.2728,42.730000000000004
26,0.4505,182,0.3242,0.2667,45.050000000000004
28,0.4773,132,0.2432,0.1902,47.73
16,0.4905,210,0.2965,0.287,49.05
9,0.5,12,0.2835,0.2804,50.0
6,0.5076,132,0.3341,0.3322,50.760000000000005
14,0.519,210,0.2939,0.2935,51.9
27,0.5385,156,0.2775,0.2618,53.849999999999994
17,0.5449,156,0.2894,0.27,54.49
19,0.5476,210,0.2199,0.2149,54.76
20,0.5556,72,0.2804,0.2857,55.559999999999995
24,0.5606,132,0.317,0.3147,56.06
29,0.5659,182,0.198,0.1689,56.589999999999996
0,0.5659,182,0.2896,0.3155,56.589999999999996
11,0.5824,182,0.2526,0.2784,58.24
18,0.5905,210,0.1894,0.1771,59.050000000000004
1,0.5909,132,0.26,0.2951,59.089999999999996
25,0.6429,42,0.2399,0.2745,64.29
4,0.6429,42,0.2037,0.2194,64.29
3,0.7091,110,0.2109,0.2678,70.91
15,0.75,56,0.2162,0.3287,75.0
22,0.7639,72,0.1519,0.1918,76.39
8,0.7679,56,0.1601,0.2439,76.79
10,0.8091,110,0.1621,0.2563,80.91000000000001
13,0.8273,110,0.0986,0.1467,82.73
5,0.8333,42,0.094,0.0981,83.33
12,0.875,72,0.0797,0.1263,87.5
23,0.8929,56,0.0694,0.0845,89.29
