keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
14,0.141,156,0.2544,0.2098,14.099999999999998
13,0.1742,132,0.3068,0.2824,17.419999999999998
10,0.2251,462,0.2684,0.2511,22.509999999999998
11,0.2308,182,0.3062,0.2642,23.080000000000002
9,0.2549,506,0.2267,0.205,25.490000000000002
12,0.2955,132,0.257,0.2531,29.549999999999997
2,0.4333,600,0.1495,0.1882,43.33
3,0.4529,552,0.1257,0.135,45.29
4,0.5815,552,0.0557,0.0609,58.15
5,0.6117,600,0.0604,0.0571,61.17
1,0.6333,420,0.078,0.0856,63.33
0,0.6868,380,0.0703,0.0768,68.67999999999999
8,0.6948,462,0.0461,0.0438,69.48
7,0.7683,600,0.0419,0.0416,76.83
6,0.7814,462,0.0377,0.0339,78.14
