keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
10,0.1944,72,0.4065,0.2955,19.439999999999998
1,0.4229,506,0.3107,0.2932,42.29
2,0.4286,420,0.2769,0.2544,42.86
4,0.4444,306,0.3107,0.3265,44.440000000000005
8,0.4684,506,0.318,0.3655,46.839999999999996
9,0.4763,506,0.3467,0.3734,47.63
0,0.4881,420,0.2775,0.276,48.809999999999995
7,0.4952,210,0.2314,0.2247,49.519999999999996
13,0.5,2,0.2602,0.3432,50.0
5,0.5333,210,0.2776,0.37,53.33
6,0.5385,156,0.2148,0.1762,53.849999999999994
11,0.5893,56,0.2096,0.2075,58.93000000000001
12,0.5952,42,0.1624,0.1409,59.519999999999996
3,0.6042,240,0.2047,0.2052,60.419999999999995
