keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
12,0.4167,156,0.2663,0.2533,41.67
11,0.4359,156,0.2787,0.271,43.59
20,0.4556,90,0.2649,0.2471,45.56
19,0.5,56,0.3001,0.3036,50.0
17,0.5694,72,0.2361,0.1844,56.940000000000005
3,0.5711,380,0.2119,0.2271,57.11000000000001
2,0.6147,462,0.1989,0.2084,61.47
14,0.619,210,0.2384,0.2453,61.9
13,0.6667,6,0.2354,0.3194,66.67
18,0.7091,110,0.162,0.1586,70.91
9,0.7288,306,0.1403,0.1372,72.88
10,0.7485,342,0.1539,0.1589,74.85000000000001
1,0.7952,210,0.1033,0.1099,79.52
16,0.8301,306,0.1248,0.1307,83.00999999999999
15,0.8627,306,0.1068,0.098,86.27
5,0.8856,306,0.0812,0.1099,88.56
0,0.8958,240,0.0659,0.0833,89.58
8,0.9177,462,0.0877,0.1307,91.77
4,0.9548,420,0.0731,0.0762,95.48
7,0.9854,342,0.0536,0.0629,98.54
6,0.9857,420,0.0436,0.0466,98.57000000000001
