keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
10,0.1237,380,0.2823,0.2246,12.370000000000001
3,0.134,306,0.1896,0.1593,13.4
14,0.1561,506,0.2432,0.2423,15.61
2,0.1763,380,0.2296,0.1941,17.630000000000003
13,0.1813,182,0.3909,0.3724,18.13
12,0.1912,272,0.2975,0.2512,19.12
15,0.1923,156,0.1386,0.1544,19.23
11,0.3158,342,0.2907,0.2571,31.580000000000002
9,0.3655,342,0.2388,0.2534,36.55
1,0.4286,42,0.1147,0.0983,42.86
7,0.4486,506,0.0924,0.1314,44.86
4,0.4739,306,0.1081,0.1594,47.39
8,0.4869,306,0.1835,0.3447,48.69
5,0.5515,272,0.059,0.0762,55.15
6,0.697,462,0.1294,0.2947,69.69999999999999
0,0.7143,42,0.0521,0.0723,71.43
