keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
14,0.3571,42,0.5453,0.542,35.709999999999994
12,0.4011,182,0.3278,0.2683,40.11
11,0.4183,306,0.3256,0.2574,41.83
10,0.4449,272,0.2773,0.2116,44.49
16,0.4542,306,0.2676,0.2205,45.42
13,0.4615,156,0.3133,0.2792,46.150000000000006
17,0.5229,306,0.2733,0.2312,52.290000000000006
18,0.5476,42,0.2509,0.2108,54.76
19,0.5952,42,0.2254,0.2121,59.519999999999996
3,0.6299,462,0.2782,0.3695,62.99
2,0.67,506,0.2278,0.3011,67.0
8,0.6991,462,0.1914,0.2562,69.91000000000001
6,0.7,210,0.2068,0.284,70.0
7,0.7692,182,0.1595,0.2185,76.92
15,0.8187,182,0.1564,0.2093,81.87
4,0.8242,182,0.1216,0.1564,82.42
9,0.8696,552,0.1145,0.1463,86.96000000000001
5,0.875,240,0.1036,0.1275,87.5
1,0.881,42,0.0799,0.0725,88.1
0,1.0,30,0.0553,0.0477,100.0
