keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
10,0.1987,156,0.4146,0.3007,19.869999999999997
5,0.2308,182,0.4046,0.3071,23.080000000000002
9,0.2361,72,0.3623,0.2667,23.61
3,0.2458,240,0.207,0.1418,24.58
7,0.3,600,0.3268,0.2525,30.0
1,0.3111,90,0.2538,0.2291,31.11
0,0.3407,182,0.2385,0.2309,34.07
2,0.3693,306,0.1949,0.1649,36.93
8,0.381,42,0.3242,0.3155,38.1
12,0.4167,240,0.1911,0.1599,41.67
4,0.4596,272,0.2381,0.2391,45.96
11,0.4762,420,0.2356,0.2791,47.620000000000005
6,0.5383,600,0.2404,0.2719,53.83
