keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
20,0.2,20,0.4318,0.4277,20.0
19,0.2,30,0.4629,0.4621,20.0
17,0.2182,110,0.3684,0.4224,21.82
10,0.2222,90,0.4628,0.5854,22.220000000000002
18,0.2273,132,0.3343,0.4089,22.73
2,0.2333,420,0.4057,0.4494,23.330000000000002
12,0.2333,90,0.3985,0.4205,23.330000000000002
13,0.25,20,0.4601,0.3612,25.0
14,0.2556,90,0.289,0.2642,25.56
11,0.2619,42,0.4839,0.5952,26.19
3,0.35,380,0.3829,0.4883,35.0
9,0.3636,110,0.3671,0.4792,36.36
15,0.391,156,0.1818,0.1781,39.1
16,0.4423,156,0.2217,0.3351,44.230000000000004
6,0.5632,380,0.2341,0.3583,56.32
1,0.5682,132,0.1714,0.2169,56.82000000000001
8,0.576,342,0.2285,0.3854,57.599999999999994
7,0.5906,342,0.2286,0.4254,59.06
0,0.6182,110,0.1129,0.1235,61.82
4,0.6209,306,0.1474,0.2456,62.09
5,0.6316,342,0.1303,0.2056,63.160000000000004
