keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
5,0.3718,156,0.2921,0.3535,37.18
4,0.4191,272,0.3009,0.3499,41.91
1,0.4402,702,0.1977,0.199,44.019999999999996
3,0.4573,702,0.1831,0.1893,45.73
0,0.5071,702,0.1805,0.2029,50.71
2,0.5214,702,0.1628,0.1801,52.14
16,0.5256,702,0.1444,0.1537,52.559999999999995
14,0.5294,306,0.1185,0.105,52.94
17,0.5499,702,0.1375,0.1514,54.99000000000001
13,0.5619,420,0.1017,0.0936,56.19
15,0.5643,342,0.1062,0.1041,56.43
6,0.5934,182,0.1307,0.134,59.34
12,0.6026,380,0.1036,0.1046,60.260000000000005
10,0.6178,552,0.1379,0.1665,61.78
8,0.645,600,0.1242,0.1486,64.5
7,0.6515,132,0.1522,0.2069,65.14999999999999
9,0.7217,600,0.1136,0.1628,72.17
11,0.7332,506,0.1077,0.1397,73.32
