keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
2,0.5702,342,0.3669,0.4328,57.02
3,0.5771,506,0.3613,0.4599,57.709999999999994
1,0.6071,420,0.2629,0.289,60.709999999999994
11,0.6286,552,0.2468,0.2993,62.86000000000001
4,0.6621,506,0.2759,0.4157,66.21000000000001
9,0.67,506,0.2151,0.25,67.0
5,0.6957,506,0.205,0.252,69.57
6,0.6991,462,0.2444,0.329,69.91000000000001
7,0.7053,380,0.2327,0.2861,70.53
13,0.712,552,0.1815,0.2594,71.2
0,0.7368,380,0.2447,0.3433,73.68
15,0.8053,380,0.1519,0.1652,80.53
12,0.846,552,0.1492,0.313,84.6
14,0.9156,462,0.099,0.1903,91.56
8,0.919,420,0.0954,0.1884,91.9
10,0.9214,420,0.0991,0.211,92.14
