category,threshold,mean_pck,std_pck,median_pck,count
aeroplane,0.05,37.00282116254993,24.777820724396733,33.33333333333333,690
aeroplane,0.1,51.22304738368475,27.18255602639999,50.0,690
aeroplane,0.2,64.72299044613622,26.128277065778136,66.66666666666666,690
bicycle,0.05,18.888494838494836,18.582670274447565,16.666666666666664,650
bicycle,0.1,33.61946941946942,25.033439670600846,33.33333333333333,650
bicycle,0.2,49.096703296703296,27.941522202738874,50.0,650
bird,0.05,46.92965668393019,23.881489869053173,45.45454545454545,702
bird,0.1,70.00505667172334,21.411643748685023,71.42857142857143,702
bird,0.2,86.08272820879658,16.983975048960577,88.88888888888889,702
boat,0.05,14.709107764663319,21.25343302276274,0.0,702
boat,0.1,24.86879889657667,28.193046045128742,16.666666666666664,702
boat,0.2,37.45749106860218,33.6699840733103,33.33333333333333,702
bottle,0.05,31.006522532384597,27.536304319672976,25.0,870
bottle,0.1,45.96875570151432,32.89340659463581,50.0,870
bottle,0.2,60.448686371100166,33.350006611728176,66.66666666666666,870
bus,0.05,23.427371315912602,24.637948115376133,16.666666666666664,644
bus,0.1,33.67530427849664,31.07926274339941,28.57142857142857,644
bus,0.2,43.66776585469497,35.84246227930486,40.0,644
car,0.05,23.620266160159776,26.59333610418147,16.666666666666664,564
car,0.1,35.21510798106543,32.97691920047469,28.57142857142857,564
car,0.2,45.72010141159077,34.972977911261204,50.0,564
cat,0.05,52.254575517075516,21.77443952050745,55.55555555555556,600
cat,0.1,66.12810106560106,18.269847367595883,66.66666666666666,600
cat,0.2,80.13785381285382,13.32023962618935,80.0,600
chair,0.05,17.428184990104494,20.785371724011508,12.5,646
chair,0.1,29.60982558892775,25.41334587114418,27.922077922077918,646
chair,0.2,43.693173441625454,29.090186643452242,42.857142857142854,646
cow,0.05,37.5794091818001,25.61401120877154,36.03896103896104,640
cow,0.1,59.13096585861679,26.07293761912624,61.53846153846154,640
cow,0.2,75.51002715612454,22.088424817690832,77.77777777777779,640
dog,0.05,31.627772227772226,20.298766926836002,31.666666666666664,600
dog,0.1,48.53698708698709,22.85714080075844,50.0,600
dog,0.2,66.48975838975839,22.54257592180198,70.0,600
horse,0.05,27.459813797313792,22.811007145658362,25.0,600
horse,0.1,44.78115264365264,25.919758413392216,44.44444444444444,600
horse,0.2,62.61826923076923,25.893011971064276,66.66666666666666,600
motorbike,0.05,20.041774069551845,21.46453956865557,16.666666666666664,702
motorbike,0.1,35.60546963324741,28.732064680950423,33.33333333333333,702
motorbike,0.2,52.80643738977073,30.738622135006406,50.0,702
person,0.05,34.022113783652244,25.796581874310284,33.33333333333333,650
person,0.1,55.43947163947164,27.502620169685727,60.0,650
person,0.2,71.62362551977937,26.811246805656126,77.77777777777779,650
pottedplant,0.05,20.143032077486833,24.162169936043806,12.5,862
pottedplant,0.1,39.512899127168275,32.14226765019074,40.0,862
pottedplant,0.2,59.97385187640408,34.60107875619041,66.66666666666666,862
sheep,0.05,25.122683258646227,27.21357805622565,20.0,664
sheep,0.1,39.67385468348881,31.69409267799022,39.23076923076923,664
sheep,0.2,57.59371974489799,33.57799629814295,60.0,664
train,0.05,34.77768722312373,23.040219955276697,33.33333333333333,756
train,0.1,53.45511869817425,25.932635141172646,53.84615384615385,756
train,0.2,72.68381108162853,24.57640896488917,78.57142857142857,756
tvmonitor,0.05,29.809456158805872,18.95159310686513,30.0,692
tvmonitor,0.1,49.403833161058586,25.167991675601716,50.0,692
tvmonitor,0.2,66.75067386050046,27.93442312743597,75.0,692
