image_idx,category,keypoint_id,pred,gt,distance,correct_at_threshold,threshold
0,aeroplane,0,"[118.09861063957214, 59.738731384277344]","[272.8018798828125, 65.27554321289062]",0.5160077281911795,False,0.05
0,aeroplane,1,"[248.29959869384766, 87.95837163925171]","[263.5592041015625, 99.86228942871094]",0.06451174018367717,False,0.05
0,aeroplane,2,"[267.8312301635742, 153.891921043396]","[285.3263854980469, 62.32628631591797]",0.31074008294219957,False,0.05
0,aeroplane,3,"[118.33130121231079, 70.7101821899414]","[189.4390869140625, 106.78857421875]",0.2657895483019652,False,0.05
0,aeroplane,4,"[14.05109390616417, 115.39163589477539]","[10.523872375488281, 111.92742919921875]",0.016479623699858024,True,0.05
0,aeroplane,5,"[42.27335751056671, 98.93823862075806]","[39.524478912353516, 96.84600067138672]",0.011515107557033317,True,0.05
0,aeroplane,6,"[96.61544859409332, 119.21476125717163]","[34.50128173828125, 114.60857391357422]",0.20761574244625788,False,0.05
0,aeroplane,7,"[124.43198561668396, 102.73418426513672]","[156.39759826660156, 116.28428649902344]",0.11572984166359906,False,0.05
0,aeroplane,8,"[200.7798671722412, 98.3826756477356]","[205.6249542236328, 95.6729965209961]",0.018504422746242862,True,0.05
0,aeroplane,9,"[260.8816087245941, 92.69288182258606]","[244.80592346191406, 95.00271606445312]",0.05413593906799708,False,0.05
0,aeroplane,10,"[252.20006704330444, 83.12029242515564]","[231.4107208251953, 86.12142944335938]",0.07001616794065348,False,0.05
0,aeroplane,0,"[118.09861063957214, 59.738731384277344]","[272.8018798828125, 65.27554321289062]",0.5160077281911795,False,0.1
0,aeroplane,1,"[248.29959869384766, 87.95837163925171]","[263.5592041015625, 99.86228942871094]",0.06451174018367717,True,0.1
0,aeroplane,2,"[267.8312301635742, 153.891921043396]","[285.3263854980469, 62.32628631591797]",0.31074008294219957,False,0.1
0,aeroplane,3,"[118.33130121231079, 70.7101821899414]","[189.4390869140625, 106.78857421875]",0.2657895483019652,False,0.1
0,aeroplane,4,"[14.05109390616417, 115.39163589477539]","[10.523872375488281, 111.92742919921875]",0.016479623699858024,True,0.1
0,aeroplane,5,"[42.27335751056671, 98.93823862075806]","[39.524478912353516, 96.84600067138672]",0.011515107557033317,True,0.1
0,aeroplane,6,"[96.61544859409332, 119.21476125717163]","[34.50128173828125, 114.60857391357422]",0.20761574244625788,False,0.1
0,aeroplane,7,"[124.43198561668396, 102.73418426513672]","[156.39759826660156, 116.28428649902344]",0.11572984166359906,False,0.1
0,aeroplane,8,"[200.7798671722412, 98.3826756477356]","[205.6249542236328, 95.6729965209961]",0.018504422746242862,True,0.1
0,aeroplane,9,"[260.8816087245941, 92.69288182258606]","[244.80592346191406, 95.00271606445312]",0.05413593906799708,True,0.1
0,aeroplane,10,"[252.20006704330444, 83.12029242515564]","[231.4107208251953, 86.12142944335938]",0.07001616794065348,True,0.1
0,aeroplane,0,"[118.09861063957214, 59.738731384277344]","[272.8018798828125, 65.27554321289062]",0.5160077281911795,False,0.2
0,aeroplane,1,"[248.29959869384766, 87.95837163925171]","[263.5592041015625, 99.86228942871094]",0.06451174018367717,True,0.2
0,aeroplane,2,"[267.8312301635742, 153.891921043396]","[285.3263854980469, 62.32628631591797]",0.31074008294219957,False,0.2
0,aeroplane,3,"[118.33130121231079, 70.7101821899414]","[189.4390869140625, 106.78857421875]",0.2657895483019652,False,0.2
0,aeroplane,4,"[14.05109390616417, 115.39163589477539]","[10.523872375488281, 111.92742919921875]",0.016479623699858024,True,0.2
0,aeroplane,5,"[42.27335751056671, 98.93823862075806]","[39.524478912353516, 96.84600067138672]",0.011515107557033317,True,0.2
0,aeroplane,6,"[96.61544859409332, 119.21476125717163]","[34.50128173828125, 114.60857391357422]",0.20761574244625788,False,0.2
0,aeroplane,7,"[124.43198561668396, 102.73418426513672]","[156.39759826660156, 116.28428649902344]",0.11572984166359906,True,0.2
0,aeroplane,8,"[200.7798671722412, 98.3826756477356]","[205.6249542236328, 95.6729965209961]",0.018504422746242862,True,0.2
0,aeroplane,9,"[260.8816087245941, 92.69288182258606]","[244.80592346191406, 95.00271606445312]",0.05413593906799708,True,0.2
0,aeroplane,10,"[252.20006704330444, 83.12029242515564]","[231.4107208251953, 86.12142944335938]",0.07001616794065348,True,0.2
1,aeroplane,0,"[256.94679021835327, 74.12044554948807]","[258.1512145996094, 75.68571472167969]",0.006583401410262013,True,0.05
1,aeroplane,1,"[273.75075817108154, 124.02271628379822]","[249.91439819335938, 128.4857177734375]",0.08083525353623584,False,0.05
1,aeroplane,2,"[239.14230465888977, 109.28889960050583]","[293.38641357421875, 121.85713958740234]",0.18560364006207475,False,0.05
1,aeroplane,3,"[226.40971541404724, 122.50320464372635]","[242.7071990966797, 108.5999984741211]",0.07140705817745192,False,0.05
1,aeroplane,4,"[5.5285383481532335, 122.90278673171997]","[6.757199764251709, 123.17142486572266]",0.0041922883203031995,True,0.05
1,aeroplane,5,"[15.857790783047676, 115.45382291078568]","[31.18160057067871, 109.97142791748047]",0.05425001805121202,False,0.05
1,aeroplane,6,"[44.04910504817963, 137.8136157989502]","[25.804800033569336, 137.39999389648438]",0.060829976943420266,False,0.05
1,aeroplane,7,"[164.75436687469482, 141.2299856543541]","[156.22079467773438, 135.0]",0.03521908821051357,True,0.05
1,aeroplane,8,"[114.43142294883728, 140.11527299880981]","[117.66799926757812, 137.39999389648438]",0.014082363623640615,True,0.05
