image_idx,category,keypoint_id,pred,gt,distance,correct_at_threshold,threshold
0,aeroplane,0,"[285.9375, 59.375]","[272.8018798828125, 65.27554321289062]",0.04800010718393711,True,0.05
0,aeroplane,1,"[210.9375, 103.125]","[263.5592041015625, 99.86228942871094]",0.175742520714077,False,0.05
0,aeroplane,2,"[229.6875, 78.125]","[285.3263854980469, 62.32628631591797]",0.19279479400349112,False,0.05
0,aeroplane,3,"[201.5625, 134.375]","[189.4390869140625, 106.78857421875]",0.10044279921299017,False,0.05
0,aeroplane,4,"[4.6875, 115.625]","[10.523872375488281, 111.92742919921875]",0.023030239139047125,True,0.05
0,aeroplane,5,"[42.1875, 96.875]","[39.524478912353516, 96.84600067138672]",0.008877263263409936,True,0.05
0,aeroplane,6,"[107.8125, 153.125]","[34.50128173828125, 114.60857391357422]",0.27604447712256774,False,0.05
0,aeroplane,7,"[164.0625, 103.125]","[156.39759826660156, 116.28428649902344]",0.050762796935686284,False,0.05
0,aeroplane,8,"[248.4375, 140.625]","[205.6249542236328, 95.6729965209961]",0.20692448146418363,False,0.05
0,aeroplane,9,"[239.0625, 90.625]","[244.80592346191406, 95.00271606445312]",0.024071954867723806,True,0.05
0,aeroplane,10,"[248.4375, 90.625]","[231.4107208251953, 86.12142944335938]",0.058707689901958134,False,0.05
0,aeroplane,0,"[285.9375, 59.375]","[272.8018798828125, 65.27554321289062]",0.04800010718393711,True,0.1
0,aeroplane,1,"[210.9375, 103.125]","[263.5592041015625, 99.86228942871094]",0.175742520714077,False,0.1
0,aeroplane,2,"[229.6875, 78.125]","[285.3263854980469, 62.32628631591797]",0.19279479400349112,False,0.1
0,aeroplane,3,"[201.5625, 134.375]","[189.4390869140625, 106.78857421875]",0.10044279921299017,False,0.1
0,aeroplane,4,"[4.6875, 115.625]","[10.523872375488281, 111.92742919921875]",0.023030239139047125,True,0.1
0,aeroplane,5,"[42.1875, 96.875]","[39.524478912353516, 96.84600067138672]",0.008877263263409936,True,0.1
0,aeroplane,6,"[107.8125, 153.125]","[34.50128173828125, 114.60857391357422]",0.27604447712256774,False,0.1
0,aeroplane,7,"[164.0625, 103.125]","[156.39759826660156, 116.28428649902344]",0.050762796935686284,True,0.1
0,aeroplane,8,"[248.4375, 140.625]","[205.6249542236328, 95.6729965209961]",0.20692448146418363,False,0.1
0,aeroplane,9,"[239.0625, 90.625]","[244.80592346191406, 95.00271606445312]",0.024071954867723806,True,0.1
0,aeroplane,10,"[248.4375, 90.625]","[231.4107208251953, 86.12142944335938]",0.058707689901958134,True,0.1
0,aeroplane,0,"[285.9375, 59.375]","[272.8018798828125, 65.27554321289062]",0.04800010718393711,True,0.2
0,aeroplane,1,"[210.9375, 103.125]","[263.5592041015625, 99.86228942871094]",0.175742520714077,True,0.2
0,aeroplane,2,"[229.6875, 78.125]","[285.3263854980469, 62.32628631591797]",0.19279479400349112,True,0.2
0,aeroplane,3,"[201.5625, 134.375]","[189.4390869140625, 106.78857421875]",0.10044279921299017,True,0.2
0,aeroplane,4,"[4.6875, 115.625]","[10.523872375488281, 111.92742919921875]",0.023030239139047125,True,0.2
0,aeroplane,5,"[42.1875, 96.875]","[39.524478912353516, 96.84600067138672]",0.008877263263409936,True,0.2
0,aeroplane,6,"[107.8125, 153.125]","[34.50128173828125, 114.60857391357422]",0.27604447712256774,False,0.2
0,aeroplane,7,"[164.0625, 103.125]","[156.39759826660156, 116.28428649902344]",0.050762796935686284,True,0.2
0,aeroplane,8,"[248.4375, 140.625]","[205.6249542236328, 95.6729965209961]",0.20692448146418363,False,0.2
0,aeroplane,9,"[239.0625, 90.625]","[244.80592346191406, 95.00271606445312]",0.024071954867723806,True,0.2
0,aeroplane,10,"[248.4375, 90.625]","[231.4107208251953, 86.12142944335938]",0.058707689901958134,True,0.2
1,aeroplane,0,"[98.4375, 108.984375]","[258.1512145996094, 75.68571472167969]",0.5438266820263038,False,0.05
1,aeroplane,1,"[257.8125, 130.078125]","[249.91439819335938, 128.4857177734375]",0.0268567750449322,True,0.05
1,aeroplane,2,"[285.9375, 123.046875]","[293.38641357421875, 121.85713958740234]",0.02514442367784097,True,0.05
1,aeroplane,3,"[239.0625, 123.046875]","[242.7071990966797, 108.5999984741211]",0.049665108796521515,True,0.05
1,aeroplane,4,"[4.6875, 130.078125]","[6.757199764251709, 123.17142486572266]",0.02403381041111557,True,0.05
1,aeroplane,5,"[32.8125, 144.140625]","[31.18160057067871, 109.97142791748047]",0.11402698814133733,False,0.05
1,aeroplane,6,"[14.0625, 130.078125]","[25.804800033569336, 137.39999389648438]",0.04612680279110662,True,0.05
1,aeroplane,7,"[173.4375, 130.078125]","[156.22079467773438, 135.0]",0.05968805907655367,False,0.05
1,aeroplane,8,"[117.1875, 137.109375]","[117.66799926757812, 137.39999389648438]",0.0018718347776592252,True,0.05
1,aeroplane,9,"[173.4375, 130.078125]","[149.47120666503906, 140.8285675048828]",0.08755666294007582,False,0.05
1,aeroplane,10,"[117.1875, 137.109375]","[76.48400115966797, 147.0]",0.1396264572483603,False,0.05
1,aeroplane,11,"[107.8125, 151.171875]","[104.8552017211914, 150.42857360839844]",0.010164267513971072,True,0.05
1,aeroplane,12,"[239.0625, 123.046875]","[220.39920043945312, 119.9142837524414]",0.0630812420094551,False,0.05
1,aeroplane,0,"[98.4375, 108.984375]","[258.1512145996094, 75.68571472167969]",0.5438266820263038,False,0.1
1,aeroplane,1,"[257.8125, 130.078125]","[249.91439819335938, 128.4857177734375]",0.0268567750449322,True,0.1
1,aeroplane,2,"[285.9375, 123.046875]","[293.38641357421875, 121.85713958740234]",0.02514442367784097,True,0.1
1,aeroplane,3,"[239.0625, 123.046875]","[242.7071990966797, 108.5999984741211]",0.049665108796521515,True,0.1
1,aeroplane,4,"[4.6875, 130.078125]","[6.757199764251709, 123.17142486572266]",0.02403381041111557,True,0.1
1,aeroplane,5,"[32.8125, 144.140625]","[31.18160057067871, 109.97142791748047]",0.11402698814133733,False,0.1
1,aeroplane,6,"[14.0625, 130.078125]","[25.804800033569336, 137.39999389648438]",0.04612680279110662,True,0.1
1,aeroplane,7,"[173.4375, 130.078125]","[156.22079467773438, 135.0]",0.05968805907655367,True,0.1
1,aeroplane,8,"[117.1875, 137.109375]","[117.66799926757812, 137.39999389648438]",0.0018718347776592252,True,0.1
1,aeroplane,9,"[173.4375, 130.078125]","[149.47120666503906, 140.8285675048828]",0.08755666294007582,True,0.1
1,aeroplane,10,"[117.1875, 137.109375]","[76.48400115966797, 147.0]",0.1396264572483603,False,0.1
1,aeroplane,11,"[107.8125, 151.171875]","[104.8552017211914, 150.42857360839844]",0.010164267513971072,True,0.1
1,aeroplane,12,"[239.0625, 123.046875]","[220.39920043945312, 119.9142837524414]",0.0630812420094551,True,0.1
1,aeroplane,0,"[98.4375, 108.984375]","[258.1512145996094, 75.68571472167969]",0.5438266820263038,False,0.2
1,aeroplane,1,"[257.8125, 130.078125]","[249.91439819335938, 128.4857177734375]",0.0268567750449322,True,0.2
1,aeroplane,2,"[285.9375, 123.046875]","[293.38641357421875, 121.85713958740234]",0.02514442367784097,True,0.2
1,aeroplane,3,"[239.0625, 123.046875]","[242.7071990966797, 108.5999984741211]",0.049665108796521515,True,0.2
1,aeroplane,4,"[4.6875, 130.078125]","[6.757199764251709, 123.17142486572266]",0.02403381041111557,True,0.2
1,aeroplane,5,"[32.8125, 144.140625]","[31.18160057067871, 109.97142791748047]",0.11402698814133733,True,0.2
1,aeroplane,6,"[14.0625, 130.078125]","[25.804800033569336, 137.39999389648438]",0.04612680279110662,True,0.2
1,aeroplane,7,"[173.4375, 130.078125]","[156.22079467773438, 135.0]",0.05968805907655367,True,0.2
1,aeroplane,8,"[117.1875, 137.109375]","[117.66799926757812, 137.39999389648438]",0.0018718347776592252,True,0.2
1,aeroplane,9,"[173.4375, 130.078125]","[149.47120666503906, 140.8285675048828]",0.08755666294007582,True,0.2
1,aeroplane,10,"[117.1875, 137.109375]","[76.48400115966797, 147.0]",0.1396264572483603,True,0.2
1,aeroplane,11,"[107.8125, 151.171875]","[104.8552017211914, 150.42857360839844]",0.010164267513971072,True,0.2
