image_idx,category,keypoint_id,pred,gt,distance,correct_at_threshold,threshold
0,aeroplane,0,"[263.5135135135135, 67.56756756756756]","[272.8018798828125, 65.27554321289062]",0.031889936666387265,True,0.05
0,aeroplane,1,"[255.4054054054054, 89.1891891891892]","[263.5592041015625, 99.86228942871094]",0.04477096056601527,True,0.05
0,aeroplane,2,"[287.8378378378378, 62.16216216216216]","[285.3263854980469, 62.32628631591797]",0.008389364691141479,True,0.05
0,aeroplane,3,"[198.64864864864865, 105.4054054054054]","[189.4390869140625, 106.78857421875]",0.03104283479848852,True,0.05
0,aeroplane,4,"[28.378378378378375, 143.24324324324326]","[10.523872375488281, 111.92742919921875]",0.12016024457398367,False,0.05
0,aeroplane,5,"[44.59459459459459, 94.5945945945946]","[39.524478912353516, 96.84600067138672]",0.018491710561439074,True,0.05
0,aeroplane,6,"[52.7027027027027, 116.21621621621622]","[34.50128173828125, 114.60857391357422]",0.060907602052190944,False,0.05
0,aeroplane,7,"[141.89189189189187, 105.4054054054054]","[156.39759826660156, 116.28428649902344]",0.060439645862479414,False,0.05
0,aeroplane,8,"[206.75675675675674, 94.5945945945946]","[205.6249542236328, 95.6729965209961]",0.005211022174042043,True,0.05
0,aeroplane,9,"[239.18918918918916, 100.0]","[244.80592346191406, 95.00271606445312]",0.0250600502400129,True,0.05
0,aeroplane,10,"[247.2972972972973, 83.78378378378379]","[231.4107208251953, 86.12142944335938]",0.053525476720454934,False,0.05
0,aeroplane,0,"[263.5135135135135, 67.56756756756756]","[272.8018798828125, 65.27554321289062]",0.031889936666387265,True,0.1
0,aeroplane,1,"[255.4054054054054, 89.1891891891892]","[263.5592041015625, 99.86228942871094]",0.04477096056601527,True,0.1
0,aeroplane,2,"[287.8378378378378, 62.16216216216216]","[285.3263854980469, 62.32628631591797]",0.008389364691141479,True,0.1
0,aeroplane,3,"[198.64864864864865, 105.4054054054054]","[189.4390869140625, 106.78857421875]",0.03104283479848852,True,0.1
0,aeroplane,4,"[28.378378378378375, 143.24324324324326]","[10.523872375488281, 111.92742919921875]",0.12016024457398367,False,0.1
0,aeroplane,5,"[44.59459459459459, 94.5945945945946]","[39.524478912353516, 96.84600067138672]",0.018491710561439074,True,0.1
0,aeroplane,6,"[52.7027027027027, 116.21621621621622]","[34.50128173828125, 114.60857391357422]",0.060907602052190944,True,0.1
0,aeroplane,7,"[141.89189189189187, 105.4054054054054]","[156.39759826660156, 116.28428649902344]",0.060439645862479414,True,0.1
0,aeroplane,8,"[206.75675675675674, 94.5945945945946]","[205.6249542236328, 95.6729965209961]",0.005211022174042043,True,0.1
0,aeroplane,9,"[239.18918918918916, 100.0]","[244.80592346191406, 95.00271606445312]",0.0250600502400129,True,0.1
0,aeroplane,10,"[247.2972972972973, 83.78378378378379]","[231.4107208251953, 86.12142944335938]",0.053525476720454934,True,0.1
0,aeroplane,0,"[263.5135135135135, 67.56756756756756]","[272.8018798828125, 65.27554321289062]",0.031889936666387265,True,0.2
0,aeroplane,1,"[255.4054054054054, 89.1891891891892]","[263.5592041015625, 99.86228942871094]",0.04477096056601527,True,0.2
0,aeroplane,2,"[287.8378378378378, 62.16216216216216]","[285.3263854980469, 62.32628631591797]",0.008389364691141479,True,0.2
0,aeroplane,3,"[198.64864864864865, 105.4054054054054]","[189.4390869140625, 106.78857421875]",0.03104283479848852,True,0.2
