image_idx,category,keypoint_id,pred,gt,distance,correct_at_threshold,threshold
0,aeroplane,0,"[267.1875, 65.625]","[272.8018798828125, 65.27554321289062]",0.018750816727274845,True,0.05
0,aeroplane,1,"[248.4375, 84.375]","[263.5592041015625, 99.86228942871094]",0.07215123536201763,False,0.05
0,aeroplane,2,"[295.3125, 59.375]","[285.3263854980469, 62.32628631591797]",0.03471032087380786,True,0.05
0,aeroplane,3,"[182.8125, 109.375]","[189.4390869140625, 106.78857421875]",0.02371151910676399,True,0.05
0,aeroplane,4,"[32.8125, 115.625]","[10.523872375488281, 111.92742919921875]",0.07531083375000919,False,0.05
0,aeroplane,5,"[42.1875, 96.875]","[39.524478912353516, 96.84600067138672]",0.008877263263409936,True,0.05
0,aeroplane,6,"[51.5625, 115.625]","[34.50128173828125, 114.60857391357422]",0.05697156118657138,False,0.05
0,aeroplane,7,"[164.0625, 103.125]","[156.39759826660156, 116.28428649902344]",0.050762796935686284,False,0.05
0,aeroplane,8,"[164.0625, 115.625]","[205.6249542236328, 95.6729965209961]",0.15367787536553193,False,0.05
0,aeroplane,9,"[239.0625, 96.875]","[244.80592346191406, 95.00271606445312]",0.020136302264034865,True,0.05
0,aeroplane,10,"[248.4375, 84.375]","[231.4107208251953, 86.12142944335938]",0.05705370032484943,False,0.05
0,aeroplane,0,"[267.1875, 65.625]","[272.8018798828125, 65.27554321289062]",0.018750816727274845,True,0.1
0,aeroplane,1,"[248.4375, 84.375]","[263.5592041015625, 99.86228942871094]",0.07215123536201763,True,0.1
0,aeroplane,2,"[295.3125, 59.375]","[285.3263854980469, 62.32628631591797]",0.03471032087380786,True,0.1
0,aeroplane,3,"[182.8125, 109.375]","[189.4390869140625, 106.78857421875]",0.02371151910676399,True,0.1
0,aeroplane,4,"[32.8125, 115.625]","[10.523872375488281, 111.92742919921875]",0.07531083375000919,True,0.1
0,aeroplane,5,"[42.1875, 96.875]","[39.524478912353516, 96.84600067138672]",0.008877263263409936,True,0.1
0,aeroplane,6,"[51.5625, 115.625]","[34.50128173828125, 114.60857391357422]",0.05697156118657138,True,0.1
0,aeroplane,7,"[164.0625, 103.125]","[156.39759826660156, 116.28428649902344]",0.050762796935686284,True,0.1
0,aeroplane,8,"[164.0625, 115.625]","[205.6249542236328, 95.6729965209961]",0.15367787536553193,False,0.1
0,aeroplane,9,"[239.0625, 96.875]","[244.80592346191406, 95.00271606445312]",0.020136302264034865,True,0.1
0,aeroplane,10,"[248.4375, 84.375]","[231.4107208251953, 86.12142944335938]",0.05705370032484943,True,0.1
0,aeroplane,0,"[267.1875, 65.625]","[272.8018798828125, 65.27554321289062]",0.018750816727274845,True,0.2
0,aeroplane,1,"[248.4375, 84.375]","[263.5592041015625, 99.86228942871094]",0.07215123536201763,True,0.2
0,aeroplane,2,"[295.3125, 59.375]","[285.3263854980469, 62.32628631591797]",0.03471032087380786,True,0.2
0,aeroplane,3,"[182.8125, 109.375]","[189.4390869140625, 106.78857421875]",0.02371151910676399,True,0.2
0,aeroplane,4,"[32.8125, 115.625]","[10.523872375488281, 111.92742919921875]",0.07531083375000919,True,0.2
0,aeroplane,5,"[42.1875, 96.875]","[39.524478912353516, 96.84600067138672]",0.008877263263409936,True,0.2
0,aeroplane,6,"[51.5625, 115.625]","[34.50128173828125, 114.60857391357422]",0.05697156118657138,True,0.2
0,aeroplane,7,"[164.0625, 103.125]","[156.39759826660156, 116.28428649902344]",0.050762796935686284,True,0.2
0,aeroplane,8,"[164.0625, 115.625]","[205.6249542236328, 95.6729965209961]",0.15367787536553193,True,0.2
0,aeroplane,9,"[239.0625, 96.875]","[244.80592346191406, 95.00271606445312]",0.020136302264034865,True,0.2
0,aeroplane,10,"[248.4375, 84.375]","[231.4107208251953, 86.12142944335938]",0.05705370032484943,True,0.2
1,aeroplane,0,"[257.8125, 73.828125]","[258.1512145996094, 75.68571472167969]",0.0062940599457641695,True,0.05
1,aeroplane,1,"[257.8125, 130.078125]","[249.91439819335938, 128.4857177734375]",0.0268567750449322,True,0.05
1,aeroplane,2,"[285.9375, 123.046875]","[293.38641357421875, 121.85713958740234]",0.02514442367784097,True,0.05
1,aeroplane,3,"[239.0625, 123.046875]","[242.7071990966797, 108.5999984741211]",0.049665108796521515,True,0.05
1,aeroplane,4,"[4.6875, 123.046875]","[6.757199764251709, 123.17142486572266]",0.006911479808739395,True,0.05
1,aeroplane,5,"[23.4375, 116.015625]","[31.18160057067871, 109.97142791748047]",0.03274538339320589,True,0.05
1,aeroplane,6,"[14.0625, 130.078125]","[25.804800033569336, 137.39999389648438]",0.04612680279110662,True,0.05
1,aeroplane,7,"[154.6875, 137.109375]","[156.22079467773438, 135.0]",0.008692560969903174,True,0.05
1,aeroplane,8,"[117.1875, 137.109375]","[117.66799926757812, 137.39999389648438]",0.0018718347776592252,True,0.05
1,aeroplane,9,"[154.6875, 137.109375]","[149.47120666503906, 140.8285675048828]",0.021354705191839622,True,0.05
1,aeroplane,10,"[79.6875, 144.140625]","[76.48400115966797, 147.0]",0.014313331086257264,True,0.05
1,aeroplane,11,"[107.8125, 144.140625]","[104.8552017211914, 150.42857360839844]",0.023162208398765077,True,0.05
1,aeroplane,12,"[220.3125, 123.046875]","[220.39920043945312, 119.9142837524414]",0.010445969393067927,True,0.05
1,aeroplane,0,"[257.8125, 73.828125]","[258.1512145996094, 75.68571472167969]",0.0062940599457641695,True,0.1
1,aeroplane,1,"[257.8125, 130.078125]","[249.91439819335938, 128.4857177734375]",0.0268567750449322,True,0.1
1,aeroplane,2,"[285.9375, 123.046875]","[293.38641357421875, 121.85713958740234]",0.02514442367784097,True,0.1
1,aeroplane,3,"[239.0625, 123.046875]","[242.7071990966797, 108.5999984741211]",0.049665108796521515,True,0.1
1,aeroplane,4,"[4.6875, 123.046875]","[6.757199764251709, 123.17142486572266]",0.006911479808739395,True,0.1
1,aeroplane,5,"[23.4375, 116.015625]","[31.18160057067871, 109.97142791748047]",0.03274538339320589,True,0.1
