image_idx,category,keypoint_id,pred,gt,distance,correct_at_threshold,threshold
0,aeroplane,0,"[274.88152384757996, 64.739328622818]","[272.8018798828125, 65.27554321289062]",0.007158867932540781,True,0.05
0,aeroplane,1,"[249.93395805358887, 85.31243205070496]","[263.5592041015625, 99.86228942871094]",0.06644510512764454,False,0.05
0,aeroplane,2,"[285.9772324562073, 61.51198148727417]","[285.3263854980469, 62.32628631591797]",0.0034748207258300913,True,0.05
0,aeroplane,3,"[182.68178701400757, 109.20064449310303]","[189.4390869140625, 106.78857421875]",0.023916332157405153,True,0.05
0,aeroplane,4,"[30.513732880353928, 116.37450456619263]","[10.523872375488281, 111.92742919921875]",0.06826183270023457,False,0.05
0,aeroplane,5,"[39.97053802013397, 98.08846116065979]","[39.524478912353516, 96.84600067138672]",0.004400349474806362,True,0.05
0,aeroplane,6,"[52.71912217140198, 114.18156623840332]","[34.50128173828125, 114.60857391357422]",0.060742813530244355,False,0.05
0,aeroplane,7,"[163.68670463562012, 101.64666175842285]","[156.39759826660156, 116.28428649902344]",0.05450699544355235,False,0.05
0,aeroplane,8,"[163.93707990646362, 115.56177139282227]","[205.6249542236328, 95.6729965209961]",0.15396400123933296,False,0.05
0,aeroplane,9,"[242.08896160125732, 96.09721899032593]","[244.80592346191406, 95.00271606445312]",0.00976377568532871,True,0.05
0,aeroplane,10,"[245.903080701828, 84.8351001739502]","[231.4107208251953, 86.12142944335938]",0.048497782055032836,True,0.05
0,aeroplane,0,"[274.88152384757996, 64.739328622818]","[272.8018798828125, 65.27554321289062]",0.007158867932540781,True,0.1
0,aeroplane,1,"[249.93395805358887, 85.31243205070496]","[263.5592041015625, 99.86228942871094]",0.06644510512764454,True,0.1
0,aeroplane,2,"[285.9772324562073, 61.51198148727417]","[285.3263854980469, 62.32628631591797]",0.0034748207258300913,True,0.1
0,aeroplane,3,"[182.68178701400757, 109.20064449310303]","[189.4390869140625, 106.78857421875]",0.023916332157405153,True,0.1
0,aeroplane,4,"[30.513732880353928, 116.37450456619263]","[10.523872375488281, 111.92742919921875]",0.06826183270023457,True,0.1
0,aeroplane,5,"[39.97053802013397, 98.08846116065979]","[39.524478912353516, 96.84600067138672]",0.004400349474806362,True,0.1
0,aeroplane,6,"[52.71912217140198, 114.18156623840332]","[34.50128173828125, 114.60857391357422]",0.060742813530244355,True,0.1
0,aeroplane,7,"[163.68670463562012, 101.64666175842285]","[156.39759826660156, 116.28428649902344]",0.05450699544355235,True,0.1
0,aeroplane,8,"[163.93707990646362, 115.56177139282227]","[205.6249542236328, 95.6729965209961]",0.15396400123933296,False,0.1
0,aeroplane,9,"[242.08896160125732, 96.09721899032593]","[244.80592346191406, 95.00271606445312]",0.00976377568532871,True,0.1
0,aeroplane,10,"[245.903080701828, 84.8351001739502]","[231.4107208251953, 86.12142944335938]",0.048497782055032836,True,0.1
0,aeroplane,0,"[274.88152384757996, 64.739328622818]","[272.8018798828125, 65.27554321289062]",0.007158867932540781,True,0.2
0,aeroplane,1,"[249.93395805358887, 85.31243205070496]","[263.5592041015625, 99.86228942871094]",0.06644510512764454,True,0.2
0,aeroplane,2,"[285.9772324562073, 61.51198148727417]","[285.3263854980469, 62.32628631591797]",0.0034748207258300913,True,0.2
0,aeroplane,3,"[182.68178701400757, 109.20064449310303]","[189.4390869140625, 106.78857421875]",0.023916332157405153,True,0.2
0,aeroplane,4,"[30.513732880353928, 116.37450456619263]","[10.523872375488281, 111.92742919921875]",0.06826183270023457,True,0.2
0,aeroplane,5,"[39.97053802013397, 98.08846116065979]","[39.524478912353516, 96.84600067138672]",0.004400349474806362,True,0.2
0,aeroplane,6,"[52.71912217140198, 114.18156623840332]","[34.50128173828125, 114.60857391357422]",0.060742813530244355,True,0.2
0,aeroplane,7,"[163.68670463562012, 101.64666175842285]","[156.39759826660156, 116.28428649902344]",0.05450699544355235,True,0.2
0,aeroplane,8,"[163.93707990646362, 115.56177139282227]","[205.6249542236328, 95.6729965209961]",0.15396400123933296,True,0.2
0,aeroplane,9,"[242.08896160125732, 96.09721899032593]","[244.80592346191406, 95.00271606445312]",0.00976377568532871,True,0.2
0,aeroplane,10,"[245.903080701828, 84.8351001739502]","[231.4107208251953, 86.12142944335938]",0.048497782055032836,True,0.2
1,aeroplane,0,"[257.48820304870605, 75.86348578333855]","[258.1512145996094, 75.68571472167969]",0.002288101753260268,True,0.05
1,aeroplane,1,"[262.69749999046326, 128.66325974464417]","[249.91439819335938, 128.4857177734375]",0.042614448867681336,True,0.05
1,aeroplane,2,"[288.2734000682831, 123.13907593488693]","[293.38641357421875, 121.85713958740234]",0.017570893833863968,True,0.05
1,aeroplane,3,"[236.48539781570435, 121.5887725353241]","[242.7071990966797, 108.5999984741211]",0.04800683548469673,True,0.05
1,aeroplane,4,"[7.983020413666964, 122.26961106061935]","[6.757199764251709, 123.17142486572266]",0.005072698606382704,True,0.05
1,aeroplane,5,"[22.0494344830513, 115.77460169792175]","[31.18160057067871, 109.97142791748047]",0.03606680273819268,True,0.05
1,aeroplane,6,"[13.679509051144123, 127.85840928554535]","[25.804800033569336, 137.39999389648438]",0.05143113176279634,False,0.05
1,aeroplane,7,"[155.54101467132568, 137.18808442354202]","[156.22079467773438, 135.0]",0.007637491081398848,True,0.05
1,aeroplane,8,"[117.19515323638916, 137.4530330300331]","[117.66799926757812, 137.39999389648438]",0.0015860381069359108,True,0.05
1,aeroplane,9,"[155.54101467132568, 137.18808442354202]","[149.47120666503906, 140.8285675048828]",0.023592768736465205,True,0.05
1,aeroplane,10,"[79.71467971801758, 146.68577313423157]","[76.48400115966797, 147.0]",0.010819746593125491,True,0.05
1,aeroplane,11,"[109.95792746543884, 146.5154528617859]","[104.8552017211914, 150.42857360839844]",0.02143473919665486,True,0.05
1,aeroplane,12,"[224.93634223937988, 122.02001810073853]","[220.39920043945312, 119.9142837524414]",0.016673256316709007,True,0.05
1,aeroplane,0,"[257.48820304870605, 75.86348578333855]","[258.1512145996094, 75.68571472167969]",0.002288101753260268,True,0.1
1,aeroplane,1,"[262.69749999046326, 128.66325974464417]","[249.91439819335938, 128.4857177734375]",0.042614448867681336,True,0.1
1,aeroplane,2,"[288.2734000682831, 123.13907593488693]","[293.38641357421875, 121.85713958740234]",0.017570893833863968,True,0.1
1,aeroplane,3,"[236.48539781570435, 121.5887725353241]","[242.7071990966797, 108.5999984741211]",0.04800683548469673,True,0.1
1,aeroplane,4,"[7.983020413666964, 122.26961106061935]","[6.757199764251709, 123.17142486572266]",0.005072698606382704,True,0.1
1,aeroplane,5,"[22.0494344830513, 115.77460169792175]","[31.18160057067871, 109.97142791748047]",0.03606680273819268,True,0.1
1,aeroplane,6,"[13.679509051144123, 127.85840928554535]","[25.804800033569336, 137.39999389648438]",0.05143113176279634,True,0.1
1,aeroplane,7,"[155.54101467132568, 137.18808442354202]","[156.22079467773438, 135.0]",0.007637491081398848,True,0.1
1,aeroplane,8,"[117.19515323638916, 137.4530330300331]","[117.66799926757812, 137.39999389648438]",0.0015860381069359108,True,0.1
1,aeroplane,9,"[155.54101467132568, 137.18808442354202]","[149.47120666503906, 140.8285675048828]",0.023592768736465205,True,0.1
1,aeroplane,10,"[79.71467971801758, 146.68577313423157]","[76.48400115966797, 147.0]",0.010819746593125491,True,0.1
1,aeroplane,11,"[109.95792746543884, 146.5154528617859]","[104.8552017211914, 150.42857360839844]",0.02143473919665486,True,0.1
1,aeroplane,12,"[224.93634223937988, 122.02001810073853]","[220.39920043945312, 119.9142837524414]",0.016673256316709007,True,0.1
1,aeroplane,0,"[257.48820304870605, 75.86348578333855]","[258.1512145996094, 75.68571472167969]",0.002288101753260268,True,0.2
1,aeroplane,1,"[262.69749999046326, 128.66325974464417]","[249.91439819335938, 128.4857177734375]",0.042614448867681336,True,0.2
1,aeroplane,2,"[288.2734000682831, 123.13907593488693]","[293.38641357421875, 121.85713958740234]",0.017570893833863968,True,0.2
1,aeroplane,3,"[236.48539781570435, 121.5887725353241]","[242.7071990966797, 108.5999984741211]",0.04800683548469673,True,0.2
1,aeroplane,4,"[7.983020413666964, 122.26961106061935]","[6.757199764251709, 123.17142486572266]",0.005072698606382704,True,0.2
1,aeroplane,5,"[22.0494344830513, 115.77460169792175]","[31.18160057067871, 109.97142791748047]",0.03606680273819268,True,0.2
1,aeroplane,6,"[13.679509051144123, 127.85840928554535]","[25.804800033569336, 137.39999389648438]",0.05143113176279634,True,0.2
1,aeroplane,7,"[155.54101467132568, 137.18808442354202]","[156.22079467773438, 135.0]",0.007637491081398848,True,0.2
1,aeroplane,8,"[117.19515323638916, 137.4530330300331]","[117.66799926757812, 137.39999389648438]",0.0015860381069359108,True,0.2
1,aeroplane,9,"[155.54101467132568, 137.18808442354202]","[149.47120666503906, 140.8285675048828]",0.023592768736465205,True,0.2
1,aeroplane,10,"[79.71467971801758, 146.68577313423157]","[76.48400115966797, 147.0]",0.010819746593125491,True,0.2
1,aeroplane,11,"[109.95792746543884, 146.5154528617859]","[104.8552017211914, 150.42857360839844]",0.02143473919665486,True,0.2
1,aeroplane,12,"[224.93634223937988, 122.02001810073853]","[220.39920043945312, 119.9142837524414]",0.016673256316709007,True,0.2
2,aeroplane,0,"[59.63828265666962, 74.16462153196335]","[51.81941223144531, 73.80128479003906]",0.02609102619558419,True,0.05
2,aeroplane,1,"[65.80750644207001, 115.60775488615036]","[70.24405670166016, 121.89600372314453]",0.025652604728441202,True,0.05
2,aeroplane,2,"[38.149863481521606, 123.85153770446777]","[27.015182495117188, 122.65714263916016]",0.03732852651213237,True,0.05
2,aeroplane,3,"[96.70443534851074, 123.24706166982651]","[93.95327758789062, 122.75228881835938]",0.009317647055375453,True,0.05
2,aeroplane,4,"[27.109723538160324, 135.20868122577667]","[29.871715545654297, 135.78684997558594]",0.009406191195588262,True,0.05
2,aeroplane,5,"[38.92342820763588, 123.95693510770798]","[222.2116241455078, 134.07427978515625]",0.6118907258424681,False,0.05
2,aeroplane,6,"[260.61540842056274, 141.82188212871552]","[265.40240478515625, 137.53749084472656]",0.02141425871520395,True,0.05
2,aeroplane,7,"[256.73471689224243, 133.26126337051392]","[256.87091064453125, 128.9365692138672]",0.014422793798820619,True,0.05
2,aeroplane,8,"[256.71247243881226, 142.2697439789772]","[256.4900207519531, 144.34971618652344]",0.006972779724002335,True,0.05
2,aeroplane,9,"[174.48425889015198, 144.54300999641418]","[192.31324768066406, 148.15542602539062]",0.06063757460506293,False,0.05
2,aeroplane,10,"[234.39399003982544, 143.8297301530838]","[241.63604736328125, 147.0137176513672]",0.026370263274597947,True,0.05
2,aeroplane,11,"[209.31453108787537, 150.7406696677208]","[220.21205139160156, 150.15342712402344]",0.036377771383581795,True,0.05
2,aeroplane,12,"[91.77538454532623, 115.94087183475494]","[101.6659164428711, 118.09028625488281]",0.03373797786962309,True,0.05
