image_idx,category,keypoint_id,pred,gt,distance,correct_at_threshold,threshold
0,aeroplane,0,"[231.08108108108107, 56.75675675675676]","[272.8018798828125, 65.27554321289062]",0.14193874951853802,False,0.05
0,aeroplane,1,"[214.86486486486484, 72.97297297297297]","[263.5592041015625, 99.86228942871094]",0.18541766705813764,False,0.05
0,aeroplane,2,"[255.4054054054054, 51.351351351351354]","[285.3263854980469, 62.32628631591797]",0.10623424051389221,False,0.05
0,aeroplane,3,"[158.1081081081081, 94.5945945945946]","[189.4390869140625, 106.78857421875]",0.11206760717498865,False,0.05
0,aeroplane,4,"[28.378378378378375, 100.0]","[10.523872375488281, 111.92742919921875]",0.07157334636655484,False,0.05
0,aeroplane,5,"[36.486486486486484, 83.78378378378379]","[39.524478912353516, 96.84600067138672]",0.04470283461039686,True,0.05
0,aeroplane,6,"[44.59459459459459, 100.0]","[34.50128173828125, 114.60857391357422]",0.05918759218730648,False,0.05
0,aeroplane,7,"[141.89189189189187, 89.1891891891892]","[156.39759826660156, 116.28428649902344]",0.10244563955032066,False,0.05
0,aeroplane,8,"[141.89189189189187, 100.0]","[205.6249542236328, 95.6729965209961]",0.21293259740242498,False,0.05
0,aeroplane,9,"[206.75675675675674, 83.78378378378379]","[244.80592346191406, 95.00271606445312]",0.13222890625624678,False,0.05
0,aeroplane,10,"[214.86486486486484, 72.97297297297297]","[231.4107208251953, 86.12142944335938]",0.07044676926695546,False,0.05
0,aeroplane,0,"[231.08108108108107, 56.75675675675676]","[272.8018798828125, 65.27554321289062]",0.14193874951853802,False,0.1
0,aeroplane,1,"[214.86486486486484, 72.97297297297297]","[263.5592041015625, 99.86228942871094]",0.18541766705813764,False,0.1
0,aeroplane,2,"[255.4054054054054, 51.351351351351354]","[285.3263854980469, 62.32628631591797]",0.10623424051389221,False,0.1
0,aeroplane,3,"[158.1081081081081, 94.5945945945946]","[189.4390869140625, 106.78857421875]",0.11206760717498865,False,0.1
0,aeroplane,4,"[28.378378378378375, 100.0]","[10.523872375488281, 111.92742919921875]",0.07157334636655484,True,0.1
0,aeroplane,5,"[36.486486486486484, 83.78378378378379]","[39.524478912353516, 96.84600067138672]",0.04470283461039686,True,0.1
0,aeroplane,6,"[44.59459459459459, 100.0]","[34.50128173828125, 114.60857391357422]",0.05918759218730648,True,0.1
0,aeroplane,7,"[141.89189189189187, 89.1891891891892]","[156.39759826660156, 116.28428649902344]",0.10244563955032066,False,0.1
0,aeroplane,8,"[141.89189189189187, 100.0]","[205.6249542236328, 95.6729965209961]",0.21293259740242498,False,0.1
0,aeroplane,9,"[206.75675675675674, 83.78378378378379]","[244.80592346191406, 95.00271606445312]",0.13222890625624678,False,0.1
0,aeroplane,10,"[214.86486486486484, 72.97297297297297]","[231.4107208251953, 86.12142944335938]",0.07044676926695546,True,0.1
0,aeroplane,0,"[231.08108108108107, 56.75675675675676]","[272.8018798828125, 65.27554321289062]",0.14193874951853802,True,0.2
0,aeroplane,1,"[214.86486486486484, 72.97297297297297]","[263.5592041015625, 99.86228942871094]",0.18541766705813764,True,0.2
0,aeroplane,2,"[255.4054054054054, 51.351351351351354]","[285.3263854980469, 62.32628631591797]",0.10623424051389221,True,0.2
0,aeroplane,3,"[158.1081081081081, 94.5945945945946]","[189.4390869140625, 106.78857421875]",0.11206760717498865,True,0.2
0,aeroplane,4,"[28.378378378378375, 100.0]","[10.523872375488281, 111.92742919921875]",0.07157334636655484,True,0.2
0,aeroplane,5,"[36.486486486486484, 83.78378378378379]","[39.524478912353516, 96.84600067138672]",0.04470283461039686,True,0.2
0,aeroplane,6,"[44.59459459459459, 100.0]","[34.50128173828125, 114.60857391357422]",0.05918759218730648,True,0.2
0,aeroplane,7,"[141.89189189189187, 89.1891891891892]","[156.39759826660156, 116.28428649902344]",0.10244563955032066,True,0.2
0,aeroplane,8,"[141.89189189189187, 100.0]","[205.6249542236328, 95.6729965209961]",0.21293259740242498,False,0.2
0,aeroplane,9,"[206.75675675675674, 83.78378378378379]","[244.80592346191406, 95.00271606445312]",0.13222890625624678,True,0.2
0,aeroplane,10,"[214.86486486486484, 72.97297297297297]","[231.4107208251953, 86.12142944335938]",0.07044676926695546,True,0.2
1,aeroplane,0,"[222.97297297297297, 63.851351351351354]","[258.1512145996094, 75.68571472167969]",0.12371835578904312,False,0.05
1,aeroplane,1,"[222.97297297297297, 112.5]","[249.91439819335938, 128.4857177734375]",0.10442347360827707,False,0.05
1,aeroplane,2,"[247.2972972972973, 106.41891891891892]","[293.38641357421875, 121.85713958740234]",0.1620200706564322,False,0.05
1,aeroplane,3,"[206.75675675675674, 106.41891891891892]","[242.7071990966797, 108.5999984741211]",0.12005514531350653,False,0.05
1,aeroplane,4,"[4.0540540540540535, 106.41891891891892]","[6.757199764251709, 123.17142486572266]",0.05656397088727206,False,0.05
1,aeroplane,5,"[20.27027027027027, 100.33783783783784]","[31.18160057067871, 109.97142791748047]",0.048518402779792996,True,0.05
1,aeroplane,6,"[12.162162162162161, 112.5]","[25.804800033569336, 137.39999389648438]",0.0946415027667456,False,0.05
1,aeroplane,7,"[133.78378378378378, 118.58108108108108]","[156.22079467773438, 135.0]",0.09267627985635996,False,0.05
1,aeroplane,8,"[101.35135135135134, 118.58108108108108]","[117.66799926757812, 137.39999389648438]",0.0830250617301024,False,0.05
1,aeroplane,9,"[133.78378378378378, 118.58108108108108]","[149.47120666503906, 140.8285675048828]",0.09074052682925543,False,0.05
1,aeroplane,10,"[68.91891891891892, 124.66216216216216]","[76.48400115966797, 147.0]",0.07861364516692708,False,0.05
1,aeroplane,11,"[93.24324324324324, 124.66216216216216]","[104.8552017211914, 150.42857360839844]",0.09420695530528803,False,0.05
1,aeroplane,12,"[190.54054054054052, 106.41891891891892]","[220.39920043945312, 119.9142837524414]",0.10922273079196204,False,0.05
1,aeroplane,0,"[222.97297297297297, 63.851351351351354]","[258.1512145996094, 75.68571472167969]",0.12371835578904312,False,0.1
1,aeroplane,1,"[222.97297297297297, 112.5]","[249.91439819335938, 128.4857177734375]",0.10442347360827707,False,0.1
1,aeroplane,2,"[247.2972972972973, 106.41891891891892]","[293.38641357421875, 121.85713958740234]",0.1620200706564322,False,0.1
1,aeroplane,3,"[206.75675675675674, 106.41891891891892]","[242.7071990966797, 108.5999984741211]",0.12005514531350653,False,0.1
1,aeroplane,4,"[4.0540540540540535, 106.41891891891892]","[6.757199764251709, 123.17142486572266]",0.05656397088727206,True,0.1
1,aeroplane,5,"[20.27027027027027, 100.33783783783784]","[31.18160057067871, 109.97142791748047]",0.048518402779792996,True,0.1
1,aeroplane,6,"[12.162162162162161, 112.5]","[25.804800033569336, 137.39999389648438]",0.0946415027667456,True,0.1
1,aeroplane,7,"[133.78378378378378, 118.58108108108108]","[156.22079467773438, 135.0]",0.09267627985635996,True,0.1
1,aeroplane,8,"[101.35135135135134, 118.58108108108108]","[117.66799926757812, 137.39999389648438]",0.0830250617301024,True,0.1
1,aeroplane,9,"[133.78378378378378, 118.58108108108108]","[149.47120666503906, 140.8285675048828]",0.09074052682925543,True,0.1
1,aeroplane,10,"[68.91891891891892, 124.66216216216216]","[76.48400115966797, 147.0]",0.07861364516692708,True,0.1
