category,pck@0.05,pck@0.10,pck@0.20
aeroplane,54.54545454545454,90.9090909090909,100.0
aeroplane,100.0,100.0,100.0
aeroplane,84.61538461538461,92.3076923076923,92.3076923076923
aeroplane,77.77777777777779,100.0,100.0
aeroplane,81.25,100.0,100.0
aeroplane,76.92307692307693,84.61538461538461,100.0
aeroplane,72.72727272727273,90.9090909090909,100.0
aeroplane,87.5,87.5,87.5
aeroplane,54.54545454545454,81.81818181818183,100.0
aeroplane,81.25,81.25,93.75
aeroplane,92.3076923076923,92.3076923076923,100.0
aeroplane,90.9090909090909,100.0,100.0
aeroplane,27.27272727272727,36.36363636363637,63.63636363636363
aeroplane,60.0,66.66666666666666,93.33333333333333
aeroplane,63.63636363636363,100.0,100.0
bicycle,45.45454545454545,72.72727272727273,81.81818181818183
bicycle,72.72727272727273,81.81818181818183,81.81818181818183
bicycle,72.72727272727273,72.72727272727273,81.81818181818183
bicycle,100.0,100.0,100.0
bicycle,90.9090909090909,100.0,100.0
bicycle,90.9090909090909,100.0,100.0
bicycle,72.72727272727273,81.81818181818183,90.9090909090909
bicycle,63.63636363636363,72.72727272727273,90.9090909090909
bicycle,36.36363636363637,72.72727272727273,90.9090909090909
bicycle,63.63636363636363,90.9090909090909,100.0
bicycle,81.81818181818183,90.9090909090909,100.0
bicycle,81.81818181818183,81.81818181818183,100.0
bicycle,72.72727272727273,81.81818181818183,90.9090909090909
bicycle,54.54545454545454,72.72727272727273,90.9090909090909
bicycle,54.54545454545454,90.9090909090909,100.0
bicycle,81.81818181818183,100.0,100.0
bicycle,63.63636363636363,81.81818181818183,81.81818181818183
bicycle,54.54545454545454,81.81818181818183,100.0
bicycle,63.63636363636363,81.81818181818183,100.0
bicycle,54.54545454545454,63.63636363636363,72.72727272727273
bicycle,72.72727272727273,81.81818181818183,81.81818181818183
bicycle,63.63636363636363,100.0,100.0
bicycle,36.36363636363637,54.54545454545454,63.63636363636363
bicycle,63.63636363636363,90.9090909090909,100.0
bicycle,30.0,60.0,60.0
bicycle,81.81818181818183,90.9090909090909,90.9090909090909
bicycle,72.72727272727273,90.9090909090909,100.0
bicycle,81.81818181818183,90.9090909090909,90.9090909090909
bicycle,54.54545454545454,63.63636363636363,81.81818181818183
bicycle,54.54545454545454,81.81818181818183,100.0
bird,75.0,87.5,87.5
bird,75.0,100.0,100.0
bird,66.66666666666666,88.88888888888889,100.0
bird,22.22222222222222,55.55555555555556,88.88888888888889
bird,60.0,60.0,80.0
bird,66.66666666666666,88.88888888888889,100.0
bird,50.0,75.0,100.0
bird,50.0,75.0,100.0
bird,60.0,80.0,80.0
bird,55.55555555555556,88.88888888888889,100.0
boat,75.0,75.0,100.0
boat,25.0,75.0,100.0
boat,33.33333333333333,50.0,100.0
boat,50.0,100.0,100.0
boat,50.0,66.66666666666666,83.33333333333334
boat,33.33333333333333,66.66666666666666,66.66666666666666
bottle,12.5,50.0,50.0
bottle,75.0,100.0,100.0
bottle,12.5,37.5,50.0
bottle,50.0,100.0,100.0
bottle,87.5,100.0,100.0
bottle,50.0,75.0,100.0
bottle,75.0,75.0,87.5
bottle,75.0,87.5,87.5
bus,100.0,100.0,100.0
bus,100.0,100.0,100.0
bus,83.33333333333334,100.0,100.0
bus,100.0,100.0,100.0
bus,100.0,100.0,100.0
bus,83.33333333333334,83.33333333333334,83.33333333333334
bus,83.33333333333334,100.0,100.0
bus,100.0,100.0,100.0
bus,100.0,100.0,100.0
bus,100.0,100.0,100.0
bus,83.33333333333334,100.0,100.0
bus,83.33333333333334,83.33333333333334,83.33333333333334
bus,66.66666666666666,83.33333333333334,83.33333333333334
bus,50.0,75.0,75.0
bus,83.33333333333334,100.0,100.0
bus,66.66666666666666,83.33333333333334,83.33333333333334
bus,25.0,25.0,25.0
bus,100.0,100.0,100.0
bus,100.0,100.0,100.0
bus,100.0,100.0,100.0
bus,33.33333333333333,33.33333333333333,33.33333333333333
bus,50.0,100.0,100.0
bus,66.66666666666666,66.66666666666666,66.66666666666666
bus,100.0,100.0,100.0
bus,100.0,100.0,100.0
bus,100.0,100.0,100.0
bus,100.0,100.0,100.0
bus,100.0,100.0,100.0
bus,83.33333333333334,83.33333333333334,83.33333333333334
bus,40.0,60.0,60.0
bus,100.0,100.0,100.0
bus,100.0,100.0,100.0
car,100.0,100.0,100.0
car,90.9090909090909,100.0,100.0
car,100.0,100.0,100.0
car,90.0,100.0,100.0
car,88.88888888888889,100.0,100.0
car,100.0,100.0,100.0
car,100.0,100.0,100.0
car,85.71428571428571,85.71428571428571,85.71428571428571
car,72.72727272727273,90.9090909090909,100.0
car,100.0,100.0,100.0
car,88.88888888888889,100.0,100.0
car,71.42857142857143,100.0,100.0
car,100.0,100.0,100.0
car,80.0,90.0,100.0
car,100.0,100.0,100.0
car,77.77777777777779,88.88888888888889,100.0
car,100.0,100.0,100.0
car,40.0,80.0,80.0
car,87.5,100.0,100.0
cat,100.0,100.0,100.0
cat,57.14285714285714,85.71428571428571,100.0
cat,83.33333333333334,100.0,100.0
cat,83.33333333333334,100.0,100.0
cat,83.33333333333334,100.0,100.0
cat,42.857142857142854,71.42857142857143,71.42857142857143
cat,71.42857142857143,85.71428571428571,100.0
cat,66.66666666666666,100.0,100.0
cat,66.66666666666666,100.0,100.0
cat,75.0,75.0,75.0
cat,80.0,100.0,100.0
cat,57.14285714285714,78.57142857142857,100.0
cat,100.0,100.0,100.0
cat,50.0,83.33333333333334,83.33333333333334
cat,83.33333333333334,100.0,100.0
cat,66.66666666666666,66.66666666666666,83.33333333333334
cat,42.857142857142854,57.14285714285714,85.71428571428571
cat,100.0,100.0,100.0
cat,100.0,100.0,100.0
cat,33.33333333333333,83.33333333333334,100.0
cat,83.33333333333334,83.33333333333334,83.33333333333334
cat,66.66666666666666,100.0,100.0
cat,90.0,90.0,100.0
cat,50.0,80.0,90.0
cat,57.14285714285714,71.42857142857143,100.0
cat,57.14285714285714,85.71428571428571,100.0
cat,57.14285714285714,71.42857142857143,71.42857142857143
chair,40.0,80.0,100.0
chair,80.0,90.0,100.0
chair,25.0,37.5,37.5
chair,16.666666666666664,33.33333333333333,66.66666666666666
chair,77.77777777777779,100.0,100.0
chair,0.0,50.0,50.0
